run,branch,point,ty,type,label,control,control_value,scaled_l2_norm,z_W0,H_a3,z_m,u_m_s,m_kg,sigma_S
restricted-wA0-plus,1,1,9,EP,1,W_a0,0.6,0.0,9000.0,0.61,9618.0275323,1.9098623387,1.0802293921e-09,7.5079838085e-05
restricted-wA0-minus,1,1,9,EP,1,W_a0,0.6,0.0,9000.0,0.61,9618.0275323,1.9098623387,1.0802293921e-09,7.5079838085e-05
