run,label,eigenvalue_index,real_s_inv,imag_s_inv
restricted-wA0-plus,1,1,1.4608,0.0
restricted-wA0-plus,1,2,-1.47916,1.62124
restricted-wA0-plus,1,3,-1.47916,-1.62124
restricted-wA0-minus,1,1,1.4608,0.0
restricted-wA0-minus,1,2,-1.47916,1.62124
restricted-wA0-minus,1,3,-1.47916,-1.62124
