point,z_m,u_m_s,w_m_s,m_kg,log_m_kg,W_a0_m_s,scaled_residual_norm,physical_residual_norm,transformed_residual_norm
seed,9618.027532260936,1.9098623386953224,-2.908453631176365e-21,1.0802293920592052e-09,-20.646092418309163,0.6,3.513613661042118e-08,2.1506166359534412e-13,2.1506195061922167e-13
corrected,9618.069334120968,1.909653329395162,-8.507758494342143e-24,1.0834145379200984e-09,-20.643148174002,0.600954531318261,5.068647199140107e-08,5.6295371281673895e-12,5.629537150982778e-12
