point,eigenvalue_index,real_s_inv,imag_s_inv
seed,0,-16.34209410516834,0.0
seed,1,-18.718353955167117,0.0
seed,2,-7.060337442786382e-06,0.00017121305453915108
seed,3,-7.060337442786382e-06,-0.00017121305453915108
corrected,0,-16.316137040413057,0.0
corrected,1,-18.693494506242015,0.0
corrected,2,-7.078176967702303e-06,0.00017117005930721488
corrected,3,-7.078176967702303e-06,-0.00017117005930721488
