stage_index,smooth_width_m,run,step_index,accepted,z_W0_m,z_W0_km,q_z_W0_scaled,z_m,u_m_s,w_m_s,m_kg,log_m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,branch_jacobian_condition,branch_min_singular_value,branch_max_singular_value,tangent_lambda_z_W0,ds_scaled,corrector_iterations,corrector_reason,delta_z_W_m,eps_dimensionless,smoothed_W_a_m_s,piecewise_W_a_m_s,updraft_difference_m_s,distance_to_z_W0_m,distance_to_ramp_base_m,in_paper_7_10_km_interval,in_9p6_10_km_transition_region
1,300.0,downward,0,True,9000.0,9.0,0.0,9618.027532260936,1.9098623386953224,-2.908453631176365e-21,1.0802293920592036e-09,-20.646092418309163,0.0,0.0,0.0,0.0,0.8249700163563247,0.8249700163563247,82.49700163563247,82.49700163563247,6.18855144668863e-05,0.0001517343967783387,2,1945.3067372652533,0.956488446294275,1860.6634186926276,-0.909181201892355,0.0,0,seed,300.0,1.0,0.5555195761163135,0.6,-0.04448042388368645,618.0275322609359,918.0275322609359,True,False
1,300.0,downward,1,True,8790.465815159925,8.790465815159925,-0.20953418484007447,9617.02159270525,1.9148920364737476,-5.2819438119730306e-23,1.004795312228968e-09,-20.71848198560272,-0.01005939555684958,0.005029697778425246,2.8556341930566343e-20,-0.07238956729355472,1.306617045510245e-10,1.306617045511085e-10,1.9755268863978103e-08,1.4817079250860153e-08,3.029780367374465e-05,0.000169416390628851,2,2051.5382767859546,0.9541612801267069,1957.4983884070245,-0.9727879221654323,0.16,4,converged,300.0,1.0,0.5768819186519657,0.6,-0.02311808134803428,826.5557775453253,1126.5557775453253,True,False
1,300.0,downward,2,True,8593.171177604812,8.593171177604813,-0.40682882239518736,9617.495047533606,1.9125247623319739,-2.3174606180567152e-26,1.0400069369743398e-09,-20.68403845364774,-0.005324847273301823,0.002662423636651471,2.908430456570184e-20,-0.037946035338578814,7.41651973074158e-14,7.416750301807895e-14,5.848181720287871e-08,5.848181673260634e-08,1.3056788176788245e-05,0.00017125204150740374,2,2014.1583530276446,0.9537584727530078,1921.02059466636,-0.9921097802768235,0.2,4,converged,300.0,1.0,0.5877976720060776,0.6,-0.012202327993922402,1024.323869928794,1324.323869928794,True,False
1,300.0,downward,3,True,8373.922315433294,8.373922315433294,-0.6260776845667059,9617.767982314708,1.9111600884264577,1.122151794297114e-27,1.0605421731909945e-09,-20.664485575443415,-0.0025954994622743375,0.001297749731135383,2.908454753328159e-20,-0.018393157134251045,3.341220849760552e-14,3.341221420191132e-14,1.952403796302871e-09,1.95240093732335e-09,2.8407281258367394e-06,0.00017152419178043874,2,1992.4073659510057,0.9539681016823005,1900.6930726741134,-0.998103436815295,0.22,4,converged,300.0,1.0,0.5940621618099193,0.6,-0.0059378381900806465,1243.8456668814142,1543.8456668814142,True,False
1,300.0,downward,4,True,8154.098975589798,8.154098975589799,-0.8459010244102021,9617.902050427712,1.9104897478614338,1.122151794297114e-27,1.0706921376246022e-09,-20.654960540001706,-0.0012548183322287755,0.0006274091661113242,2.908454753328159e-20,-0.00886812169254202,4.3996942170059224e-11,4.399694217035599e-11,1.6747812311942774e-08,1.6159576356851273e-08,-2.2510302597704386e-06,0.00017143494808170026,4,1981.6576154660281,0.9541956730444945,1890.8891221333547,-0.9995551872488523,0.22,3,converged,300.0,1.0,0.5971316785736663,0.6,-0.002868321426333642,1463.8030748379142,1763.8030748379142,True,False
1,300.0,downward,5,True,7934.140069033754,7.934140069033754,-1.065859930966246,9617.967080706045,1.910164596469774,7.253558787833359e-23,1.0756302693287625e-09,-20.65035905012174,-0.0006045155489028145,0.0003022577744516032,2.9809892190546985e-20,-0.004266631812576708,2.4748499482563122e-12,2.4748500079261582e-12,5.434647718919339e-08,5.4345913683117465e-08,-4.7381701437806675e-06,0.00017133691415410594,4,1976.427554774329,0.9543357559079532,1886.175484482867,-0.9998966490656842,0.22,3,converged,300.0,1.0,0.5986187287085843,0.6,-0.001381271291415631,1683.8270116722906,1983.8270116722906,True,False
1,300.0,downward,6,True,7714.149584755576,7.714149584755576,-1.285850415244424,9617.998455868663,1.9100077206566872,2.0033859167234215e-25,1.0780162326597659e-09,-20.648143306447036,-0.0002907639227315854,0.0001453819613649059,2.908653969768037e-20,-0.002050888137873819,1.3721294952074223e-13,1.3721294967724132e-13,6.554863169911578e-10,6.553426873228012e-10,-5.942187287011473e-06,0.00017127659592401065,4,1973.9007011653293,0.954410254298161,1883.9110701585203,-0.9999760801898405,0.22,3,converged,300.0,1.0,0.599335756736445,0.6,-0.0006642432635549644,1903.8488711130867,2203.8488711130867,True,False
1,300.0,downward,7,True,7494.151783831698,7.494151783831698,-1.5058482161683024,9618.01355731002,1.9099322134499084,3.818842593784319e-24,1.0791654423089325e-09,-20.647077833129494,-0.00013974950916968454,6.987475458595908e-05,2.912272473770149e-20,-0.0009854148203302378,9.454604738662627e-14,9.454607772017334e-14,7.573535380176577e-09,7.573529478732858e-09,-6.5226402450445686e-06,0.0001712445153567722,4,1972.6848389844147,0.9544477280471263,1882.8245627216857,-0.9999944735045548,0.22,3,converged,300.0,1.0,0.5996807754588668,0.6,-0.00031922454113320065,2123.861773478322,2423.861773478322,True,False
1,300.0,downward,8,True,7274.15229156671,7.27415229156671,-1.7258477084332897,9618.020817865348,1.909895910673256,-5.036681834290308e-30,1.0797181511131009e-09,-20.646565801060763,-6.714395587305531e-05,3.35719779336213e-05,2.908453626139683e-20,-0.000473382751601053,6.872235735890697e-14,6.872838715691003e-14,9.103846601982983e-08,9.103846576044703e-08,-6.801930389526889e-06,0.00017122838332944031,4,1972.0993567201463,0.9544661027172446,1882.301987179863,-0.9999987241607438,0.22,4,converged,300.0,1.0,0.5998466323314205,0.6,-0.0001533676685794294,2343.8685262986382,2643.8685262986382,True,False
1,300.0,downward,9,True,7054.152408744285,7.054152408744285,-1.9458475912557147,9618.024306802703,1.9098784659864863,-2.1919023620357477e-25,1.0799837895883897e-09,-20.64631980556331,-3.225458233010703e-05,1.612729116376762e-05,2.9082344409401614e-20,-0.00022738725414759474,3.736223873402613e-14,3.7365376841161085e-14,4.8425537169030203e-08,4.842553702489789e-08,-6.936188997595536e-06,0.0001712204674969553,4,1971.8172041075104,0.9544750058157784,1882.0502373581678,-0.9999997055717657,0.22,3,converged,300.0,1.0,0.5999263269348134,0.6,-7.367306518657468e-05,2563.871898058418,2863.871898058418,True,False
