iteration,residual_norm,augmented_norm,correction_norm,jacobian_condition,min_singular_value,linear_solver,stage_index,smooth_width_m,run,step_index,z_W0_m,ds_scaled
2,1.1566784937322794e-06,1.1566784937322794e-06,1.4540313143767088e-09,2361.234674211868,0.9451071413460908,solve,1,300.0,upward,2,9249.54557187316,0.2
3,1.2268418720023155e-08,1.2268418720023155e-08,0.0,2361.2337923105606,0.9451071212101346,not_needed,1,300.0,upward,2,9249.54557187316,0.2
0,21.748911885828047,21.748911885828047,0.021581138769622987,2536.34806110749,0.9556001630442088,solve,1,300.0,upward,3,9395.60671751308,0.22
1,0.026758921036342326,0.026758921036342326,2.633006779090958e-05,2558.0018900085506,0.9582175752101267,solve,1,300.0,upward,3,9395.60671751308,0.22
2,4.981156989090287e-08,4.981156989090287e-08,0.0,2557.974861428318,0.9582145278440996,not_needed,1,300.0,upward,3,9395.60671751308,0.22
0,17.963761714618933,17.963761714618933,0.01445231923867854,2791.5961438561353,0.9708237902248092,solve,1,300.0,upward,4,9514.59452464735,0.22
1,0.009119077720368117,0.009119077720368117,7.033556375814963e-06,2807.2194293374937,0.971846296002297,solve,1,300.0,upward,4,9514.59452464735,0.22
2,5.603865585213064e-08,5.603865585213064e-08,0.0,2807.2132881996135,0.97184599482336,not_needed,1,300.0,upward,4,9514.59452464735,0.22
0,13.946555564624498,13.946555564624498,0.009473185087013341,3119.3527372743683,0.9778957776167535,solve,1,300.0,upward,5,9614.44112137766,0.22
1,0.013408369100872801,0.013408369100872801,8.886819415587852e-06,3130.274718184053,0.9782682460837088,solve,1,300.0,upward,5,9614.44112137766,0.22
2,1.2895744841049412e-08,1.2895744841049412e-08,0.0,3130.262355736804,0.9782679442845277,not_needed,1,300.0,upward,5,9614.44112137766,0.22
0,10.841986647714771,10.841986647714771,0.006425326679167822,3517.1250652588756,0.9805800782513818,solve,1,300.0,upward,6,9701.050750130982,0.22
1,0.015193691360547937,0.015193691360547937,8.88931051267278e-06,3524.876549582225,0.980753787453049,solve,1,300.0,upward,6,9701.050750130982,0.22
2,1.5272445782190553e-07,1.5272445782190553e-07,1.0259483433791433e-10,3524.86581382379,0.9807535655661243,solve,1,300.0,upward,6,9701.050750130982,0.22
3,1.5300368780783e-07,1.5300368780783e-07,1.0124964626476551e-10,3524.865819249077,0.9807535655778848,solve,1,300.0,upward,6,9701.050750130982,0.22
4,1.568659941011684e-07,1.568659941011684e-07,1.0380610433426269e-10,3524.8658155865905,0.9807535655727626,solve,1,300.0,upward,6,9701.050750130982,0.22
5,1.6519839017705652e-07,1.6519839017705652e-07,1.0931909643607965e-10,3524.865811958793,0.9807535655643242,solve,1,300.0,upward,6,9701.050750130982,0.22
6,7.675948338861965e-09,7.675948338861966e-09,0.0,3524.865813062632,0.9807535655643852,not_needed,1,300.0,upward,6,9701.050750130982,0.22
0,8.589584717831501,8.589584717831501,0.0045528497239981204,3988.6982061693966,0.9810905398758469,solve,1,300.0,upward,7,9778.293968269,0.22
1,0.013714958132101973,0.013714958132101973,7.230706702861784e-06,3994.364929168839,0.9812084328218311,solve,1,300.0,upward,7,9778.293968269,0.22
2,3.321231372678827e-08,3.321231372678827e-08,0.0,3994.3574099949915,0.981208253401191,not_needed,1,300.0,upward,7,9778.293968269,0.22
0,6.95519264782303,6.95519264782303,0.003357504448518443,4542.933872441573,0.9802920516910646,solve,1,300.0,upward,8,9848.699414345245,0.22
1,0.01119114185550656,0.01119114185550656,5.409883453133073e-06,4547.183949336009,0.9803971821922961,solve,1,300.0,upward,8,9848.699414345245,0.22
2,3.819016397813011e-08,3.819016397813011e-08,0.0,4547.1770771162655,0.9803970133016903,not_needed,1,300.0,upward,8,9848.699414345245,0.22
0,5.751991242253923,5.751991242253923,0.0025603558063529907,5192.2921478981425,0.9784731052461051,solve,1,300.0,upward,9,9913.965484432814,0.22
1,0.008735560683522693,0.008735560683522693,3.927202677858461e-06,5195.528484334373,0.9785791492994758,solve,1,300.0,upward,9,9913.965484432814,0.22
2,2.968458623499649e-07,2.968458623499649e-07,1.336593087675069e-10,5195.523515038481,0.9785789842728376,solve,1,300.0,upward,9,9913.965484432814,0.22
3,1.2038303379382367e-07,1.2038303379382367e-07,5.379867033633039e-11,5195.523526316464,0.9785789842815701,solve,1,300.0,upward,9,9913.965484432814,0.22
4,2.268818884400012e-09,2.2688188844000127e-09,0.0,5195.521600068647,0.9785789831946553,not_needed,1,300.0,upward,9,9913.965484432814,0.22
0,4.854032391161933,4.854032391161933,0.0020066691131139522,5952.5978885183185,0.9756711014906476,solve,1,300.0,upward,10,9975.2718455043,0.22
1,0.006684735022066568,0.006684735022066568,2.827308856192293e-06,5955.05662748592,0.9757829771083597,solve,1,300.0,upward,10,9975.2718455043,0.22
2,1.0979236788637023e-07,1.0979236788637023e-07,4.231862540676487e-11,5955.05098115177,0.9757828140616751,solve,1,300.0,upward,10,9975.2718455043,0.22
3,2.2508101511517796e-07,2.2508101511517796e-07,8.784398774630918e-11,5955.053166365747,0.9757828149106891,solve,1,300.0,upward,10,9975.2718455043,0.22
4,1.834317446920094e-07,1.834317446920094e-07,7.159099224992207e-11,5955.05316418964,0.9757828149072046,solve,1,300.0,upward,10,9975.2718455043,0.22
5,9.771454231164315e-08,9.771454231164315e-08,0.0,5955.053149866917,0.9757828149053684,not_needed,1,300.0,upward,10,9975.2718455043,0.22
0,0.6920548378846996,0.6920548378846996,0.00027638104869863293,6298.901712122518,0.9744245785653657,solve,1,300.0,upward,11,9999.257776823508,0.08941190382879732
1,0.0001346718013651587,0.0001346718013651587,5.568798215165082e-08,6299.221397996978,0.9744413025194857,solve,1,300.0,upward,11,9999.257776823508,0.08941190382879732
2,1.6270352907791915e-07,1.6270352907791915e-07,6.007320315038334e-11,6299.22362150298,0.974441299540075,solve,1,300.0,upward,11,9999.257776823508,0.08941190382879732
3,3.6194171912320895e-08,3.6194171912320895e-08,0.0,6299.221327720616,0.974441299003417,not_needed,1,300.0,upward,11,9999.257776823508,0.08941190382879732
0,0.000614966365664683,0.000614966365664683,2.446810605148958e-07,6310.043449308164,0.9744093992066968,solve,1,300.0,upward,12,9999.984937160441,0.0027388928560108587
1,6.305952559572486e-08,6.305952559572486e-08,0.0,6310.043741425076,0.9744094137527113,not_needed,1,300.0,upward,12,9999.984937160441,0.0027388928560108587
0,0.0005105405441980616,0.0005105405441980616,2.0310131206937028e-07,6320.028700255922,0.9743658735755766,solve,1,300.0,upward,13,10000.64829212132,0.0025
1,6.740767174205825e-08,6.740767174205825e-08,0.0,6320.028918280826,0.9743658857077496,not_needed,1,300.0,upward,13,10000.64829212132,0.0025
0,9.863353326298705e-07,9.863353326298705e-07,1.6266466519264233e-09,1971.7742795973,0.9544763541949697,solve,1,300.0,anchor,7000,7000.0,0.0
1,1.2891540747968284e-07,1.2891540747968284e-07,1.589387009165731e-10,1971.7742802681908,0.9544763542186948,solve,1,300.0,anchor,7000,7000.0,0.0
2,1.0312658602626502e-07,1.0312658602626502e-07,1.2714091969316844e-10,1971.7750388223792,0.9544763658302596,solve,1,300.0,anchor,7000,7000.0,0.0
3,4.0726808448235505e-08,4.0726808448235505e-08,5.0211073556822406e-11,1971.7750393357655,0.9544763658343488,solve,1,300.0,anchor,7000,7000.0,0.0
0,0.005417269749140237,0.005417269749140237,9.043226151758988e-06,1972.7181465688886,0.9544465887962091,solve,1,300.0,anchor,7500,7500.0,0.0
1,6.984301576138526e-08,6.984301576138526e-08,8.394866887458969e-11,1972.7080227408062,0.9544465488137717,solve,1,300.0,anchor,7500,7500.0,0.0
2,5.2659943309566476e-08,5.2659943309566476e-08,6.489785699530416e-11,1972.7072615652878,0.9544465371282019,solve,1,300.0,anchor,7500,7500.0,0.0
3,2.281375417831549e-08,2.281375417831549e-08,2.8114708592658592e-11,1972.708019185148,0.9544465487617793,solve,1,300.0,anchor,7500,7500.0,0.0
4,4.921930822173377e-08,4.921930822173377e-08,6.065974893400919e-11,1972.7072608920892,0.9544465371274784,solve,1,300.0,anchor,7500,7500.0,0.0
5,1.5118827270649922e-08,1.5118827270649922e-08,1.863469470687503e-11,1972.7072551252102,0.9544465370446023,solve,1,300.0,anchor,7500,7500.0,0.0
6,6.763276282032688e-08,6.763276282032688e-08,8.334785579889943e-11,1972.7080182470468,0.9544465487465096,solve,1,300.0,anchor,7500,7500.0,0.0
7,4.455801146454129e-08,4.455801146454129e-08,5.491054800146941e-11,1972.7072553291935,0.9544465370313661,solve,1,300.0,anchor,7500,7500.0,0.0
8,1.0716742716226128e-07,1.0716742716226128e-07,1.3207125726099685e-10,1972.7072548403885,0.9544465370402299,solve,1,300.0,anchor,7500,7500.0,0.0
9,5.0485545455783595e-08,5.0485545455783595e-08,6.221908604980225e-11,1972.707261046881,0.9544465371374804,solve,1,300.0,anchor,7500,7500.0,0.0
10,1.7922823904244624e-08,1.7922823904244624e-08,2.2086433853295338e-11,1972.7072563202328,0.9544465370618767,solve,1,300.0,anchor,7500,7500.0,0.0
11,6.08732429591295e-08,6.08732429591295e-08,7.501784642656573e-11,1972.7072554056467,0.9544465370349513,solve,1,300.0,anchor,7500,7500.0,0.0
0,0.20151852016166144,0.20151852016166144,0.00033627669534283495,1978.0527715932453,0.954290476196608,solve,1,300.0,anchor,8000,8000.0,0.0
1,2.179102951529362e-05,2.179102951529362e-05,3.684223144689539e-08,1977.6466961999633,0.9542885530897425,solve,1,300.0,anchor,8000,8000.0,0.0
0,1.0478258236557312,1.0478258236557312,0.0017455777578837533,2005.973428027633,0.9534594224529895,solve,1,300.0,anchor,8500,8500.0,0.0
1,0.0005868316682269652,0.0005868316682269652,9.915696748880262e-07,2003.8341018226558,0.9534494405876333,solve,1,300.0,anchor,8500,8500.0,0.0
0,82.49700163563247,82.49700163563247,0.1506332053898286,1962.5951591921341,0.9480612027321237,solve,1,300.0,anchor,9000,9000.0,0.0
1,4.129892499290158,4.129892499290158,0.006934765800429231,2152.3676701377026,0.9489778595890652,solve,1,300.0,anchor,9000,9000.0,0.0
2,0.010172630614786746,0.010172630614786746,1.6561333752616587e-05,2143.4996752792445,0.9489313296293559,solve,1,300.0,anchor,9000,9000.0,0.0
3,5.932365239337647e-08,5.932365239337647e-08,8.900596027883809e-11,2143.481593783717,0.9489312107508651,solve,1,300.0,anchor,9000,9000.0,0.0
4,1.653841098789113e-08,1.653841098789113e-08,1.893541591714879e-11,2143.4815857482786,0.9489312105926379,solve,1,300.0,anchor,9000,9000.0,0.0
5,3.9815808440877396e-08,3.9815808440877396e-08,4.558205321944795e-11,2143.4807787786563,0.9489311966963164,solve,1,300.0,anchor,9000,9000.0,0.0
6,1.5618437223944382e-08,1.5618437223944382e-08,1.7880914064299717e-11,2143.480772869461,0.9489311965977498,solve,1,300.0,anchor,9000,9000.0,0.0
7,3.729905264835689e-08,3.729905264835689e-08,4.270032044000766e-11,2143.4807682925425,0.9489311965181783,solve,1,300.0,anchor,9000,9000.0,0.0
8,2.158462769099798e-08,2.158462769099798e-08,2.470986760741352e-11,2143.481584796181,0.9489312105761469,solve,1,300.0,anchor,9000,9000.0,0.0
9,5.10876491211327e-08,5.10876491211327e-08,5.848460233535791e-11,2143.481584798024,0.9489312106057854,solve,1,300.0,anchor,9000,9000.0,0.0
10,1.0513677375981246e-08,1.0513677375981246e-08,1.203594775372396e-11,2143.4815884630634,0.9489312106681286,solve,1,300.0,anchor,9000,9000.0,0.0
11,2.4927970986355633e-08,2.4927970986355633e-08,2.854072718439191e-11,2143.481586170706,0.9489312106035293,solve,1,300.0,anchor,9000,9000.0,0.0
0,1.685265616416501,1.685265616416501,0.002724438310112581,2917.428190847126,0.9229092664455298,solve,1,300.0,anchor,9500,9500.0,0.0
1,0.0014685285148944983,0.0014685285148944983,2.410973280045108e-06,2912.407320685059,0.9228940691911155,solve,1,300.0,anchor,9500,9500.0,0.0
2,9.994757899399832e-08,9.994757899399832e-08,8.821181197183279e-11,2912.401848240509,0.9228940331305215,solve,1,300.0,anchor,9500,9500.0,0.0
3,5.12534700977365e-08,5.12534700977365e-08,4.499105380604463e-11,2912.4029057563084,0.9228940547232851,solve,1,300.0,anchor,9500,9500.0,0.0
4,2.2997023916864135e-08,2.2997023916864135e-08,2.0183715732718138e-11,2912.402910841966,0.9228940548268448,solve,1,300.0,anchor,9500,9500.0,0.0
5,5.2840661549127546e-08,5.2840661549127546e-08,4.6380726092245804e-11,2912.4028955710755,0.9228940545135108,solve,1,300.0,anchor,9500,9500.0,0.0
6,1.9700600863807426e-08,1.9700600863807426e-08,1.7290381099185194e-11,2912.4029033806764,0.922894054656856,solve,1,300.0,anchor,9500,9500.0,0.0
7,4.5342081337242614e-08,4.5342081337242614e-08,3.9799547134513214e-11,2912.4029026220833,0.9228940546543091,solve,1,300.0,anchor,9500,9500.0,0.0
8,1.0346902340356696e-07,1.0346902340356696e-07,9.082016994753176e-11,2912.4028959605967,0.9228940545140608,solve,1,300.0,anchor,9500,9500.0,0.0
9,9.704321040799393e-08,9.704321040799393e-08,8.517869383213797e-11,2912.402896753987,0.922894054530685,solve,1,300.0,anchor,9500,9500.0,0.0
10,8.309130113498307e-08,8.309130113498307e-08,7.293531368676733e-11,2912.4018435597227,0.922894032993302,solve,1,300.0,anchor,9500,9500.0,0.0
11,5.01563887928858e-08,5.01563887928858e-08,4.4026691309176136e-11,2912.4029079914985,0.9228940547791722,solve,1,300.0,anchor,9500,9500.0,0.0
0,1.5137412664599246,1.5137412664599246,0.0024172697833322607,3312.5605606157083,0.9090297301878472,solve,1,300.0,anchor,9600,9600.0,0.0
1,0.001176877763806369,0.001176877763806369,1.8991835343043575e-06,3307.4618019972086,0.909016817684304,solve,1,300.0,anchor,9600,9600.0,0.0
2,2.5518409427310753e-08,2.5518409427310753e-08,1.9814470760779483e-11,3307.4578154364367,0.909016807279608,solve,1,300.0,anchor,9600,9600.0,0.0
3,9.781861385723793e-08,9.781861385723793e-08,7.710845052593338e-11,3307.45781383302,0.9090168072431573,solve,1,300.0,anchor,9600,9600.0,0.0
4,6.590137952604042e-08,6.590137952604042e-08,5.194697422145568e-11,3307.4578154681244,0.909016807286923,solve,1,300.0,anchor,9600,9600.0,0.0
0,0.11580993563421457,0.11580993563421457,0.00018232061211618023,3884.250457067605,0.8886124588057099,solve,1,300.0,anchor,9700,9700.0,0.0
1,6.859660222911381e-06,6.859660222911381e-06,1.0828632117965257e-08,3883.795636414327,0.8886115541213352,solve,1,300.0,anchor,9700,9700.0,0.0
2,1.490939232374196e-07,1.490939232374196e-07,1.0289208514428858e-10,3883.7942607513673,0.8886115265838345,solve,1,300.0,anchor,9700,9700.0,0.0
3,1.7332791056131097e-08,1.7332791056131097e-08,1.1959755634015547e-11,3883.795600257876,0.8886115538276536,solve,1,300.0,anchor,9700,9700.0,0.0
4,3.7706980121151356e-08,3.7706980121151356e-08,2.6019897693978998e-11,3883.7956030707815,0.8886115538853981,solve,1,300.0,anchor,9700,9700.0,0.0
5,8.354279563234643e-08,8.354279563234643e-08,5.764844679604193e-11,3883.79560481361,0.888611553966142,solve,1,300.0,anchor,9700,9700.0,0.0
6,1.8600619877321313e-07,1.8600619877321313e-07,1.2835784964280335e-10,3883.7955997412632,0.8886115538275233,solve,1,300.0,anchor,9700,9700.0,0.0
7,6.436039651107297e-08,6.436039651107297e-08,4.441713471101571e-11,3883.7969595882055,0.8886115815265498,solve,1,300.0,anchor,9700,9700.0,0.0
8,3.077511137999589e-08,3.077511137999589e-08,2.1234652201275194e-11,3883.795608572981,0.8886115540070566,solve,1,300.0,anchor,9700,9700.0,0.0
9,6.846680977582422e-08,6.846680977582422e-08,4.725160646339658e-11,3883.7942524321215,0.8886115264370531,solve,1,300.0,anchor,9700,9700.0,0.0
10,2.3050187769658203e-08,2.3050187769658203e-08,1.5903018085104618e-11,3883.7956099408716,0.8886115540305718,solve,1,300.0,anchor,9700,9700.0,0.0
11,5.248520898667434e-08,5.248520898667434e-08,3.622036049853223e-11,3883.7956028848475,0.8886115539298626,solve,1,300.0,anchor,9700,9700.0,0.0
0,1.3589434060572445,1.3589434060572445,0.0020742043485953913,4748.426396491775,0.8586562225753226,solve,1,300.0,anchor,9800,9800.0,0.0
1,0.0009489514170518738,0.0009489514170518738,1.4051944546885538e-06,4742.055458206115,0.858647525204614,solve,1,300.0,anchor,9800,9800.0,0.0
2,2.0403191488222696e-08,2.0403191488222696e-08,1.2218001514596667e-11,4742.051151857787,0.8586475201918599,solve,1,300.0,anchor,9800,9800.0,0.0
3,4.499332253674491e-08,4.499332253674491e-08,2.6441934118510308e-11,4742.0495489135965,0.8586474893171294,solve,1,300.0,anchor,9800,9800.0,0.0
4,9.879583933559066e-08,9.879583933559066e-08,5.8070398308413506e-11,4742.051139759186,0.8586475199242058,solve,1,300.0,anchor,9800,9800.0,0.0
5,2.1577664801358938e-07,2.1577664801358938e-07,1.268273939971396e-10,4742.0495561048465,0.8586474894698614,solve,1,300.0,anchor,9800,9800.0,0.0
6,2.684291315980361e-07,2.684291315980361e-07,1.5777552554066693e-10,4742.0495371929555,0.8586474891474999,solve,1,300.0,anchor,9800,9800.0,0.0
7,1.8001823951621521e-07,1.8001823951621521e-07,1.0581217609989567e-10,4742.0511507930505,0.858647520118346,solve,1,300.0,anchor,9800,9800.0,0.0
8,1.3956884768126445e-08,1.3956884768126445e-08,8.205010353864257e-12,4742.049556281498,0.8586474894653026,solve,1,300.0,anchor,9800,9800.0,0.0
9,3.0997407830739365e-08,3.0997407830739365e-08,1.8222265369048302e-11,4742.049548924781,0.8586474893554426,solve,1,300.0,anchor,9800,9800.0,0.0
10,6.771012849252295e-08,6.771012849252295e-08,3.979778229720523e-11,4742.051159796021,0.8586475202813411,solve,1,300.0,anchor,9800,9800.0,0.0
11,5.525058311146739e-08,5.525058311146739e-08,3.247832000407499e-11,4742.049537904662,0.8586474891035148,solve,1,300.0,anchor,9800,9800.0,0.0
0,0.8940489176476519,0.8940489176476519,0.0013249932916593085,6062.2167956013,0.8152959943299269,solve,1,300.0,anchor,9900,9900.0,0.0
1,0.00041515548517121576,0.00041515548517121576,5.755850724825042e-07,6056.984023105784,0.8152915478262146,solve,1,300.0,anchor,9900,9900.0,0.0
2,1.6355738242508226e-07,1.6355738242508226e-07,7.966488695145248e-11,6056.981755228573,0.8152915463952913,solve,1,300.0,anchor,9900,9900.0,0.0
3,1.0742169519460035e-07,1.0742169519460035e-07,5.229962851031068e-11,6056.981741949396,0.8152915461568944,solve,1,300.0,anchor,9900,9900.0,0.0
4,1.3511538141713531e-08,1.3511538141713531e-08,6.576562755701347e-12,6056.98175245634,0.8152915463494405,solve,1,300.0,anchor,9900,9900.0,0.0
5,2.9332624938014855e-08,2.9332624938014855e-08,1.428170613796857e-11,6056.981746891572,0.8152915462326875,solve,1,300.0,anchor,9900,9900.0,0.0
6,1.8027938337660637e-07,1.8027938337660637e-07,8.777313466315274e-11,6056.9817420190175,0.8152915461601452,solve,1,300.0,anchor,9900,9900.0,0.0
7,1.4349661033223493e-07,1.4349661033223493e-07,6.986806353303736e-11,6056.979751016521,0.8152915122126556,solve,1,300.0,anchor,9900,9900.0,0.0
8,1.7848242092831175e-07,1.7848242092831175e-07,8.689258037019618e-11,6056.981751457745,0.8152915463515417,solve,1,300.0,anchor,9900,9900.0,0.0
9,1.4019012232369158e-07,1.4019012232369158e-07,6.825112022682935e-11,6056.979769347991,0.8152915125212529,solve,1,300.0,anchor,9900,9900.0,0.0
10,1.8517723338929448e-07,1.8517723338929448e-07,9.015813036468146e-11,6056.981755056537,0.815291546376484,solve,1,300.0,anchor,9900,9900.0,0.0
11,1.538928475644153e-07,1.538928475644153e-07,7.492951826180795e-11,6056.979756000725,0.8152915123040988,solve,1,300.0,anchor,9900,9900.0,0.0
0,1.1259078095552235e-05,1.1259078095552235e-05,1.584905648370291e-08,8146.446661950724,0.7547516888161784,solve,1,300.0,anchor,10000,10000.0,0.0
1,5.143988236539114e-08,5.143988236539114e-08,2.020416808448328e-11,8146.446585632626,0.7547516888818305,solve,1,300.0,anchor,10000,10000.0,0.0
2,1.0746022317432744e-07,1.0746022317432744e-07,4.219671381136887e-11,8146.4465846274825,0.754751688853605,solve,1,300.0,anchor,10000,10000.0,0.0
3,7.170632386617884e-08,7.170632386617884e-08,2.81588717752307e-11,8146.449175770939,0.7547517245932012,solve,1,300.0,anchor,10000,10000.0,0.0
4,1.5094146150627501e-07,1.5094146150627501e-07,5.927135913959417e-11,8146.4491570517575,0.754751724338301,solve,1,300.0,anchor,10000,10000.0,0.0
5,3.167890646984017e-07,3.167890646984017e-07,1.243972243672143e-10,8146.446566882936,0.7547516885934938,solve,1,300.0,anchor,10000,10000.0,0.0
6,3.672862458392812e-07,3.672862458392812e-07,1.442237106231205e-10,8146.446571463548,0.7547516886636247,solve,1,300.0,anchor,10000,10000.0,0.0
7,1.7600512092083424e-07,1.7600512092083424e-07,6.911059946796549e-11,8146.446567959382,0.7547516886191002,solve,1,300.0,anchor,10000,10000.0,0.0
8,2.2582457503371913e-07,2.2582457503371913e-07,8.867749741543229e-11,8146.446566135391,0.7547516885765635,solve,1,300.0,anchor,10000,10000.0,0.0
9,1.767928336997878e-07,1.767928336997878e-07,6.942070938557687e-11,8146.446564981477,0.7547516886011345,solve,1,300.0,anchor,10000,10000.0,0.0
