smooth_width_m,z_W0_min_m,z_W0_max_m,unique_points,transition_region_points,max_scaled_residual_norm,max_branch_jacobian_condition
300.0,6998.583046079695,10000.64829212132,35,13,1.462686058508325e-07,6320.028846654317
150.0,6999.480370977376,10000.254582116631,39,17,1.6884765657812024e-07,11266.672470931993
100.0,6999.499696341705,10000.116964939049,50,29,2.1902081036877711e-07,20642.145208244165
50.0,6999.499999998829,9929.955134435491,48,28,2.2150002879222254e-07,29512.676508344313
