stage_index,smooth_width_m,run,attempted_step_index,start_z_W0_m,trial_ds_scaled,accepted,reason,final_scaled_residual_norm,augmented_jacobian_condition
3,100.0,upward,16,9921.599814679832,0.22,False,maximum Newton iterations reached,4.780003927210477e-07,12240.707732993187
3,100.0,upward,21,9963.7437972262,0.1375,False,maximum Newton iterations reached,6.7626906953707695e-09,16403.942558870873
3,100.0,upward,26,9989.111115525933,0.107421875,False,maximum Newton iterations reached,6.647042034985069e-07,20096.749385141386
3,100.0,upward,27,9989.111115525933,0.0537109375,False,maximum Newton iterations reached,7.747554499524785e-07,19377.397042561457
4,50.0,upward,22,9916.624599022962,0.22,False,maximum Newton iterations reached,7.807204752499792e-07,27188.02343939996
4,50.0,upward,25,9926.314989988918,0.171875,False,maximum Newton iterations reached,2.0660540253184129e-07,31088.020360536215
4,50.0,upward,26,9926.314989988918,0.0859375,False,maximum Newton iterations reached,1.030348254238381e-06,29339.909014850968
4,50.0,upward,28,9927.971413485373,0.04296875,False,maximum Newton iterations reached,8.085057032614614e-07,29339.90764255993
4,50.0,upward,30,9928.797008678428,0.02685546875,False,maximum Newton iterations reached,3.763018516188998e-07,29446.101762956812
4,50.0,upward,33,9929.955134435491,0.01678466796875,False,maximum Newton iterations reached,1.0375948635894972e-06,29847.89581320969
4,50.0,upward,34,9929.955134435491,0.008392333984375,False,maximum Newton iterations reached,9.023667759301526e-07,29679.792251349052
4,50.0,upward,35,9929.955134435491,0.0041961669921875,False,maximum Newton iterations reached,5.177101894927134e-07,29596.116115583533
