run,line,message
q-plus,38,1     1         Iterations   :   2
q-plus,57,1     2         Iterations   :   2
q-plus,76,1     3         Iterations   :   2
q-plus,95,1     4         Iterations   :   2
q-plus,114,1     5         Iterations   :   2
q-plus,133,1     6         Iterations   :   2
q-plus,153,1     7         Iterations   :   3
q-plus,173,1     8         Iterations   :   3
q-plus,193,1     9         Iterations   :   3
q-plus,205,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 8.8293E-303 in GE
q-plus,206,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 8.8293E-303 in GE
q-plus,207,1    11   7                NaN           NaN
q-plus,208,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,209,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,210,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,211,1    11   8                NaN           NaN
q-plus,212,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,213,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,214,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,215,1    11   9                NaN           NaN
q-plus,216,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,217,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,218,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,219,1    11  10                NaN           NaN
q-plus,220,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,221,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,222,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,223,1    11  11                NaN           NaN
q-plus,224,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,225,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,226,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,227,1    11  12                NaN           NaN
q-plus,229,1    10         Iterations   :  12
q-plus,231,1    10 NOTE:Retrying step
q-plus,249,1    10         Iterations   :  12
q-plus,251,1    10 NOTE:Retrying step
q-plus,269,1    10         Iterations   :  12
