experiment,accepted,reason,z_W0_m,z_W0_km,smooth_width_m,mu_log_width_over_50m,width_inverse_mapping,q_z_W0_scaled,z_m,u_m_s,w_m_s,m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,newton_iterations,state_jacobian_condition,state_jacobian_min_singular_value,state_jacobian_max_singular_value,width_branch_condition,width_branch_min_singular_value,width_branch_max_singular_value,width_tangent_mu,width_tangent_state_norm,z_branch_condition,z_branch_min_singular_value,z_branch_max_singular_value,z_tangent_lambda,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,smoothed_W_a_m_s,piecewise_W_a_m_s,updraft_difference_m_s,distance_to_z_W0_m,distance_to_ramp_base_m,in_transition_region
two_parameter_map,False,maximum Newton iterations reached,9950.0,9.95,10.0,-1.6094379124341003,width_m = 50*exp(mu),0.95,9590.135143143776,2.0493242842811146,-5.452309933271e-28,6.433644565684512e-16,-0.27892389117159255,0.13946194558579206,2.9084530859453716e-20,-14.33372788543734,1.041171989934041e-09,1.0411719936969442e-09,8.852538153273007e-06,8.851925856220669e-06,14,65586651516.84576,0.00033407582738984807,21910914.87121988,6227550959.509872,0.003518383874123187,21910914.871219914,0.09495091777655124,0.99548195524248,437676451.1422787,0.05006190032395977,21910914.8712292,0.006664887899060164,-3.2534939238530015e-07,3.1731699714119475e-05,4,5.0186543899377485e-05,0.0,5.0186543899377485e-05,-359.8648568562239,-59.86485685622392,True
two_parameter_map,False,maximum Newton iterations reached,10000.0,10.0,10.0,-1.6094379124341003,width_m = 50*exp(mu),1.0,9590.120568257129,2.0493971587125746,-2.6541532275167083e-23,8.602790359316315e-17,-0.2790696400380708,0.13953482001725198,2.8819120989011976e-20,-16.345767551570425,9.552636355254227,9.552636355254414,973.641871534432,955.2636355254135,14,37137181943018.34,2.2529379881179292e-06,83667767.97107324,2061216768155.6577,4.0591445433435814e-05,83667767.9710733,0.05550278168201083,0.9984585325518327,247473629197.21436,0.00033808761055666864,83667767.97107323,0.006663769794571051,-4.32669372010972e-07,0.0,4,3.380829248368181e-07,0.0,3.380829248368181e-07,-409.879431742871,-109.87943174287102,True
