smooth_width_m,z_W0_min_m,z_W0_max_m,accepted_points,max_state_jacobian_condition,min_state_jacobian_singular_value,max_width_branch_condition
10.0,9600.0,9930.0,10,1216014596.8646736,0.002453617250908509,161562982.48627892
25.0,9600.0,10000.0,12,439242494.83009386,0.004091982826918831,54021269.72071576
35.0,9600.0,10000.0,12,18765793.094122488,0.01983901276586273,3040965.154635989
50.0,9600.0,10000.0,12,1500694.741857628,0.0701334228692082,332753.2367586141
75.0,9600.0,10000.0,12,181193.5250273754,0.19887019984795706,61602.68400892871
100.0,9600.0,10000.0,12,59739.09592705841,0.3379468215226167,28101.438363270754
150.0,9600.0,10000.0,12,20317.668748584085,0.5445908106370582,13715.483677950444
200.0,9600.0,10000.0,12,12489.355476124694,0.6565479491644707,9903.074467875413
300.0,9600.0,10000.0,12,8146.449158713557,0.7547517243754566,7351.159087088637
