kind,sample,i,j,value
pvls,task012_probe_W0p5,81,0,0.44509687802241527
pvls,task012_probe_W0p5,91,0,8.344179036612331e-08
pvls,task012_probe_W0p5,92,0,1.3274497169882271e-11
pvls,task012_probe_W0p5,93,0,-6.162243257499256
pvls,task012_probe_W0p5,94,0,-1.2925113137809862e-06
pvls,task012_probe_W0p5,95,0,6.752498179356401e-07
pvls,task012_probe_W0p5,96,0,9613.754088219326
pvls,task012_probe_W0p5,97,0,1.9312295589033712
pvls,task012_probe_W0p5,98,0,7.765038320467693e-10
residual,task012_probe_W0p7,1,0,3.806432389681751e-16
residual,task012_probe_W0p7,2,0,-3.432842716553115e-08
residual,task012_probe_W0p7,3,0,3.796385096785964e-09
dfdu,task012_probe_W0p7,1,1,-0.42856618748711933
dfdu,task012_probe_W0p7,1,2,-0.8571323746102185
dfdu,task012_probe_W0p7,1,3,-2.3130185469905306e-16
dfdu,task012_probe_W0p7,2,1,-0.004570239299471855
dfdu,task012_probe_W0p7,2,2,0.0
dfdu,task012_probe_W0p7,2,3,-0.982955818944399
dfdu,task012_probe_W0p7,3,1,5.977361110276645
dfdu,task012_probe_W0p7,3,2,0.0
dfdu,task012_probe_W0p7,3,3,-1.0074709234535641
dfdp,task012_probe_W0p7,1,2,9.625845065747869e-17
dfdp,task012_probe_W0p7,1,1,0.0
dfdp,task012_probe_W0p7,1,4,0.0
dfdp,task012_probe_W0p7,2,2,2.719933449032673
dfdp,task012_probe_W0p7,2,1,0.0
dfdp,task012_probe_W0p7,2,4,0.0
dfdp,task012_probe_W0p7,3,2,1.5736496693197676e-09
dfdp,task012_probe_W0p7,3,1,0.0
dfdp,task012_probe_W0p7,3,4,1730.9860021551842
pvls,task012_probe_W0p7,60,0,7.508948396062198e-05
pvls,task012_probe_W0p7,61,0,2.0734870410751404e-05
pvls,task012_probe_W0p7,62,0,9.582435437137339e-05
pvls,task012_probe_W0p7,63,0,0.002543458701657427
pvls,task012_probe_W0p7,64,0,0.002543458701657427
pvls,task012_probe_W0p7,65,0,3.4522085710919637e-12
pvls,task012_probe_W0p7,66,0,7.075183551333363e-24
pvls,task012_probe_W0p7,67,0,14.007513018519385
pvls,task012_probe_W0p7,68,0,3.147467971546544
pvls,task012_probe_W0p7,75,0,1.0025434587051096
pvls,task012_probe_W0p7,77,0,1.024507915260657
pvls,task012_probe_W0p7,79,0,0.699999988079071
pvls,task012_probe_W0p7,80,0,1.8873021184835785
pvls,task012_probe_W0p7,81,0,0.4446053271796082
pvls,task012_probe_W0p7,91,0,-2.0808461442811677e-07
pvls,task012_probe_W0p7,92,0,3.4522085710919637e-12
pvls,task012_probe_W0p7,93,0,-5.958268393673194
pvls,task012_probe_W0p7,94,0,-1.298400439167338e-06
pvls,task012_probe_W0p7,95,0,4.5935586656791933e-07
pvls,task012_probe_W0p7,96,0,9622.539576303285
pvls,task012_probe_W0p7,97,0,1.887302118483578
pvls,task012_probe_W0p7,98,0,1.4460766665366627e-09
residual,task012_probe_W1p0,1,0,2.664505255858134e-16
residual,task012_probe_W1p0,2,0,3.1758864276680305e-09
residual,task012_probe_W1p0,3,0,-2.0963664305706096e-08
dfdu,task012_probe_W1p0,1,1,-0.29999662203701416
dfdu,task012_probe_W1p0,1,2,-0.5999932438828249
dfdu,task012_probe_W1p0,1,3,-1.5338442329555524e-16
dfdu,task012_probe_W1p0,2,1,-0.0064117738265413475
dfdu,task012_probe_W1p0,2,2,0.0
dfdu,task012_probe_W1p0,2,3,-0.9311895808045699
dfdu,task012_probe_W1p0,3,1,4.028583650279945
dfdu,task012_probe_W1p0,3,2,0.0
dfdu,task012_probe_W1p0,3,3,-1.1062188814190874
dfdp,task012_probe_W1p0,1,2,7.274778158423905e-17
dfdp,task012_probe_W1p0,1,1,0.0
dfdp,task012_probe_W1p0,1,4,0.0
dfdp,task012_probe_W1p0,2,2,2.059256883302623
dfdp,task012_probe_W1p0,2,1,0.0
dfdp,task012_probe_W1p0,2,4,0.0
dfdp,task012_probe_W1p0,3,2,-8.79123429142845e-09
dfdp,task012_probe_W1p0,3,1,0.0
dfdp,task012_probe_W1p0,3,4,1320.4378183153012
pvls,task012_probe_W1p0,60,0,7.512339056003903e-05
pvls,task012_probe_W1p0,61,0,2.695194294796135e-05
pvls,task012_probe_W1p0,62,0,0.00010207533350800038
pvls,task012_probe_W1p0,63,0,0.003734381308218969
pvls,task012_probe_W1p0,64,0,0.003734381308218969
pvls,task012_probe_W1p0,65,0,-2.5067125025007853e-11
pvls,task012_probe_W1p0,66,0,-8.149095820958078e-23
pvls,task012_probe_W1p0,67,0,9.805268618593972
pvls,task012_probe_W1p0,68,0,5.734185071640788
pvls,task012_probe_W1p0,75,0,1.0037343812831518
pvls,task012_probe_W1p0,77,0,1.027679208251103
pvls,task012_probe_W1p0,79,0,1.0
pvls,task012_probe_W1p0,80,0,1.8080197937224263
pvls,task012_probe_W1p0,81,0,0.44371953153656174
pvls,task012_probe_W1p0,91,0,1.925089954113446e-08
pvls,task012_probe_W1p0,92,0,-2.5067125025007853e-11
pvls,task012_probe_W1p0,93,0,-5.644483038702575
pvls,task012_probe_W1p0,94,0,-1.4256640544286108e-06
pvls,task012_probe_W1p0,95,0,2.936130214758751e-07
pvls,task012_probe_W1p0,96,0,9638.396041255515
pvls,task012_probe_W1p0,97,0,1.8080197937224258
pvls,task012_probe_W1p0,98,0,3.016241388238103e-09
