target_W_a0,state,predicted_delta,actual_delta,abs_error
0.55,Z_scaled,-0.021890827346937706,-0.021610293892081245,0.000280533454856461
0.55,U_scaled,0.010945413678678026,0.010805146946036626,0.00014026673264140067
0.55,M_log_ratio,-0.1543148613648288,-0.15934649974198042,0.0050316383771516204
0.65,Z_scaled,0.021890827346937754,0.02220763084720602,0.00031680350026826523
0.65,U_scaled,-0.01094541367867805,-0.01110381542360006,0.00015840174492201022
0.65,M_log_ratio,0.15431486136482916,0.14984442690074418,0.004470434464084988
