Z_scaled,U_scaled,M_log_ratio,residual
-0.4999937502952964,-0.9999875001146791,-2.7453132054055856e-16,du_dt_m_s2
-0.003963902731579126,0.0,-0.9999999992120044,dw_dt_m_s2
7.0318430883895715,0.0,-0.9975245521507328,dlogm_dt_s_inv
