branch,point,ty,label,W_a0,l2_norm,Z_scaled,U_scaled,M_log_ratio
1,119,0,0,1.2914360823,2.1606503516,0.30272215929,-0.15136107964,2.1339772866
1,120,4,28,1.2975318212,2.1796987649,0.30539097462,-0.15269548731,2.1527905486
1,121,0,0,1.30362756,2.1987471781,0.30805978996,-0.15402989498,2.1716038107
1,122,0,0,1.3097232988,2.2177955914,0.3107286053,-0.15536430265,2.1904170727
1,123,0,0,1.3158190377,2.2368440047,0.31339742064,-0.15669871032,2.2092303348
1,124,0,0,1.3219147765,2.2558924179,0.31606623597,-0.15803311799,2.2280435968
1,125,4,29,1.3280105153,2.2749408312,0.31873505131,-0.15936752565,2.2468568589
1,126,0,0,1.3341062541,2.2939892445,0.32140386665,-0.16070193332,2.2656701209
1,127,0,0,1.340201993,2.3130376578,0.32407268198,-0.16203634099,2.284483383
1,128,0,0,1.3462977318,2.332086071,0.32674149732,-0.16337074866,2.3032966451
1,129,0,0,1.3523934706,2.3511344843,0.32941031266,-0.16470515633,2.3221099071
1,130,4,30,1.3584892095,2.3701828976,0.33207912799,-0.166039564,2.3409231692
1,131,0,0,1.3645849483,2.3892313108,0.33474794333,-0.16737397167,2.3597364312
1,132,0,0,1.3706806871,2.4082797241,0.33741675867,-0.16870837933,2.3785496933
1,133,0,0,1.376776426,2.4273281374,0.34008557401,-0.170042787,2.3973629553
1,134,0,0,1.3828721648,2.4463765507,0.34275438934,-0.17137719467,2.4161762174
1,135,4,31,1.3889679036,2.4654249639,0.34542320468,-0.17271160234,2.4349894794
1,136,0,0,1.3950636424,2.4844733772,0.34809202002,-0.17404601001,2.4538027415
1,137,0,0,1.4011593813,2.5035217905,0.35076083535,-0.17538041768,2.4726160035
1,138,0,0,1.4072551201,2.5225702037,0.35342965069,-0.17671482535,2.4914292656
1,139,0,0,1.4133508589,2.541618617,0.35609846603,-0.17804923301,2.5102425276
1,140,4,32,1.4194465978,2.5606670303,0.35876728136,-0.17938364068,2.5290557897
1,141,0,0,1.4255423366,2.5797154435,0.3614360967,-0.18071804835,2.5478690517
1,142,0,0,1.4316380754,2.5987638568,0.36410491204,-0.18205245602,2.5666823138
1,143,0,0,1.4377338143,2.6178122701,0.36677372738,-0.18338686369,2.5854955758
1,144,0,0,1.4438295531,2.6368606834,0.36944254271,-0.18472127136,2.6043088379
1,145,4,33,1.4499252919,2.6559090966,0.37211135805,-0.18605567902,2.6231220999
1,146,0,0,1.4560210307,2.6749575099,0.37478017339,-0.18739008669,2.641935362
1,147,0,0,1.4621167696,2.6940059232,0.37744898872,-0.18872449436,2.660748624
1,148,0,0,1.4682125084,2.7130543364,0.38011780406,-0.19005890203,2.6795618861
1,149,0,0,1.4743082472,2.7321027497,0.3827866194,-0.1913933097,2.6983751481
1,150,4,34,1.4804039861,2.751151163,0.38545543473,-0.19272771737,2.7171884102
1,151,0,0,1.4864997249,2.7701995762,0.38812425007,-0.19406212504,2.7360016722
1,152,0,0,1.4925954637,2.7892479895,0.39079306541,-0.1953965327,2.7548149343
1,153,0,0,1.4986912026,2.8082964028,0.39346188075,-0.19673094037,2.7736281963
1,154,0,0,1.5047869414,2.8273448161,0.39613069608,-0.19806534804,2.7924414584
1,155,4,35,1.5108826802,2.8463932293,0.39879951142,-0.19939975571,2.8112547204
1,156,0,0,1.516978419,2.8654416426,0.40146832676,-0.20073416338,2.8300679825
1,157,0,0,1.5230741579,2.8844900559,0.40413714209,-0.20206857105,2.8488812445
1,158,0,0,1.5291698967,2.9035384691,0.40680595743,-0.20340297872,2.8676945066
1,159,0,0,1.5352656355,2.9225868824,0.40947477277,-0.20473738638,2.8865077686
1,160,4,36,1.5413613744,2.9416352957,0.4121435881,-0.20607179405,2.9053210307
1,161,0,0,1.5474571132,2.9606837089,0.41481240344,-0.20740620172,2.9241342927
1,162,0,0,1.553552852,2.9797321222,0.41748121878,-0.20874060939,2.9429475548
1,163,0,0,1.5596485909,2.9987805355,0.42015003411,-0.21007501706,2.9617608168
1,164,0,0,1.5657443297,3.0178289488,0.42281884945,-0.21140942473,2.9805740789
1,165,4,37,1.5718400685,3.036877362,0.42548766479,-0.21274383239,2.9993873409
1,166,0,0,1.5779358073,3.0559257753,0.42815648013,-0.21407824006,3.018200603
1,167,0,0,1.5840315462,3.0749741886,0.43082529546,-0.21541264773,3.037013865
1,168,0,0,1.590127285,3.0940226018,0.4334941108,-0.2167470554,3.0558271271
1,169,0,0,1.5962230238,3.1130710151,0.43616292614,-0.21808146307,3.0746403891
1,170,4,38,1.6023187627,3.1321194284,0.43883174147,-0.21941587074,3.0934536512
1,171,0,0,1.6084145015,3.1511678417,0.44150055681,-0.22075027841,3.1122669132
1,172,0,0,1.6145102403,3.1702162549,0.44416937215,-0.22208468607,3.1310801753
1,173,0,0,1.6206059792,3.1892646682,0.44683818748,-0.22341909374,3.1498934373
1,174,0,0,1.626701718,3.2083130815,0.44950700282,-0.22475350141,3.1687066994
1,175,4,39,1.6327974568,3.2273614947,0.45217581816,-0.22608790908,3.1875199614
1,176,0,0,1.6388931956,3.246409908,0.4548446335,-0.22742231675,3.2063332235
1,177,0,0,1.6449889345,3.2654583213,0.45751344883,-0.22875672442,3.2251464855
1,178,0,0,1.6510846733,3.2845067345,0.46018226417,-0.23009113208,3.2439597476
1,179,0,0,1.6571804121,3.3035551478,0.46285107951,-0.23142553975,3.2627730096
1,180,9,40,1.663276151,3.3226035611,0.46551989484,-0.23275994742,3.2815862717
