source_run,source_step_index,H_a3,fd_step_scale,z_step_m,u_step_m_s,w_step_m_s,m_step_kg,stable_eigenvalue_count,complex_pair_count,critical_real_s_inv,critical_imag_s_inv,tracked_pair_real_s_inv,tracked_pair_imag_abs_s_inv,jacobian_condition,eig0_real_s_inv,eig0_imag_s_inv,eig1_real_s_inv,eig1_imag_s_inv,eig2_real_s_inv,eig2_imag_s_inv,eig3_real_s_inv,eig3_imag_s_inv
upward,20,0.6324464800308298,100.0,100.0,0.001000000000000334,0.001,1.1052971038061907e-11,2,0,0.0003456974379007136,0.0,0.0003456974379007136,0.0,3.920064147509493e+25,-18.86367382036974,0.0,-16.34151451909922,0.0,0.00011653472849929101,0.0,0.0003456974379007136,0.0
upward,20,0.6324464800308298,30.0,30.0,0.000300000000000189,0.00030000000000000003,3.315891311418593e-12,4,1,-4.184811106335939e-06,0.00018287821943739822,-4.184811106335939e-06,0.00018287821943739822,4.7189661740775235e+25,-18.863203332189425,0.0,-16.341511331945718,0.0,-4.184811106335939e-06,-0.00018287821943739822,-4.184811106335939e-06,0.00018287821943739822
upward,20,0.6324464800308298,10.0,10.0,9.999999999976694e-05,0.0001,1.1052971038061287e-12,4,1,-4.054283336156436e-06,0.00018224463009754732,-4.054283336156436e-06,0.00018224463009754732,4.7519159640250166e+25,-18.86320360323397,0.0,-16.341511051756193,0.0,-4.054283336156436e-06,-0.00018224463009754732,-4.054283336156436e-06,0.00018224463009754732
upward,20,0.6324464800308298,3.0,3.0,2.9999999999752447e-05,3.0000000000000004e-05,3.3158913114187997e-13,4,1,-4.039197635705998e-06,0.00018217127335197592,-4.039197635705998e-06,0.00018217127335197592,4.755752854853986e+25,-18.863203634541875,0.0,-16.34151101988463,0.0,-4.039197635705998e-06,-0.00018217127335197592,-4.039197635705998e-06,0.00018217127335197592
upward,20,0.6324464800308298,1.0,1.0,9.999999999621423e-06,1e-05,1.1052971038069559e-13,4,1,-4.0378690203017764e-06,0.00018216481130765814,-4.0378690203017764e-06,0.00018216481130765814,4.7560912977665116e+25,-18.863203637199096,0.0,-16.341511017082734,0.0,-4.0378690203017764e-06,-0.00018216481130765814,-4.0378690203017764e-06,0.00018216481130765814
upward,20,0.6324464800308298,0.3,0.2999999999992724,3.000000000419334e-06,3e-06,3.315891311410528e-14,4,1,-4.0377178668191034e-06,0.0001821640759581177,-4.0377178668191034e-06,0.0001821640759581177,4.756129740918318e+25,-18.863203636731626,0.0,-16.341511016764024,0.0,-4.0377178668191034e-06,-0.0001821640759581177,-4.0377178668191034e-06,0.0001821640759581177
upward,20,0.6324464800308298,0.1,0.1000000000003638,1.000000000139778e-06,1.0000000000000002e-06,1.1052971037966161e-14,4,1,-4.037704577922993e-06,0.00018216401556583368,-4.037704577922993e-06,0.00018216401556583368,4.7561328560092735e+25,-18.863203637350324,0.0,-16.341511016736,0.0,-4.037704577922993e-06,-0.00018216401556583368,-4.037704577922993e-06,0.00018216401556583368
upward,20,0.6324464800308298,0.03,0.030000000000654836,2.9999999995311555e-07,3.0000000000000004e-07,3.315891311493246e-15,4,1,-4.037703068500734e-06,0.00018216398696043734,-4.037703068500734e-06,0.00018216398696043734,4.7561344301848015e+25,-18.863203634688812,0.0,-16.341511016732817,0.0,-4.037703068500734e-06,-0.00018216398696043734,-4.037703068500734e-06,0.00018216398696043734
upward,20,0.6324464800308298,0.01,0.010000000000218279,1.0000000028043132e-07,1.0000000000000001e-07,1.1052971039000137e-15,4,1,-4.037702931826096e-06,0.00018216398643428297,-4.037702931826096e-06,0.00018216398643428297,4.756134608968325e+25,-18.8632036258073,0.0,-16.341511016732532,0.0,-4.037702931826096e-06,-0.00018216398643428297,-4.037702931826096e-06,0.00018216398643428297
upward,21,0.633731266297439,100.0,100.0,0.001000000000000334,0.001,1.1066347312761628e-11,2,0,0.0006785945410921072,0.0,0.0006785945410921072,0.0,3.620531446466427e+25,-18.871620683945,0.0,-16.341483374247016,0.0,6.406266197881448e-05,0.0,0.0006785945410921072,0.0
