run,step_index,H_a3,eigenvalue_index,real_s_inv,imag_s_inv
downward,0,0.61,0,-16.342094105168357,0.0
downward,0,0.61,1,-18.718353955344764,0.0
downward,0,0.61,2,-7.060337442780258e-06,0.0001712130545410668
downward,0,0.61,3,-7.060337442780258e-06,-0.0001712130545410668
downward,1,0.6093902158988577,0,-16.34211102741224,0.0
downward,1,0.6093902158988577,1,-18.71411090690753,0.0
downward,1,0.6093902158988577,2,-7.145407449853762e-06,0.00017090573012179457
downward,1,0.6093902158988577,3,-7.145407449853762e-06,-0.00017090573012179457
downward,2,0.6086324081208757,0,-16.342132141600853,0.0
downward,2,0.6086324081208757,1,-18.708813624391443,0.0
downward,2,0.6086324081208757,2,-7.251333310573741e-06,0.0001705230276486579
downward,2,0.6086324081208757,3,-7.251333310573741e-06,-0.0001705230276486579
downward,3,0.6076919984993202,0,-16.342158473753013,0.0
downward,3,0.6076919984993202,1,-18.702202305641336,0.0
downward,3,0.6076919984993202,2,-7.383096929342814e-06,0.00017004690473750183
downward,3,0.6076919984993202,3,-7.383096929342814e-06,-0.00017004690473750183
downward,4,0.6066476824754037,0,-16.342187885464174,0.0
downward,4,0.6066476824754037,1,-18.694811326141,0.0
downward,4,0.6066476824754037,2,-7.529822307693469e-06,0.0001695165968715987
downward,4,0.6066476824754037,3,-7.529822307693469e-06,-0.0001695165968715987
downward,5,0.6056127071572543,0,-16.342217211900135,0.0
downward,5,0.6056127071572543,1,-18.68743496984393,0.0
downward,5,0.6056127071572543,2,-7.675648948398216e-06,0.00016898937990038996
downward,5,0.6056127071572543,3,-7.675648948398216e-06,-0.00016898937990038996
downward,6,0.6045869611989789,0,-16.342246452644456,0.0
downward,6,0.6045869611989789,1,-18.680073385164214,0.0
downward,6,0.6045869611989789,2,-7.820576249948176e-06,0.00016846522454629952
downward,6,0.6045869611989789,3,-7.820576249948176e-06,-0.00016846522454629952
downward,7,0.6035703345201792,0,-16.342275607301897,0.0
downward,7,0.6035703345201792,1,-18.67272671580854,0.0
downward,7,0.6035703345201792,2,-7.964603749847467e-06,0.0001679441028838467
downward,7,0.6035703345201792,3,-7.964603749847467e-06,-0.0001679441028838467
downward,8,0.6025627182986892,0,-16.342304675497935,0.0
downward,8,0.6025627182986892,1,-18.665395099799387,0.0
downward,8,0.6025627182986892,2,-8.107731119992097e-06,0.00016742598653205021
downward,8,0.6025627182986892,3,-8.107731119992097e-06,-0.00016742598653205021
downward,9,0.6015640049682301,0,-16.342333656878292,0.0
downward,9,0.6015640049682301,1,-18.658078671872904,0.0
downward,9,0.6015640049682301,2,-8.249958165479652e-06,0.00016691084891181163
downward,9,0.6015640049682301,3,-8.249958165479652e-06,-0.00016691084891181163
downward,10,0.6005740882257324,0,-16.342362551115183,0.0
downward,10,0.6005740882257324,1,-18.65077756072567,0.0
downward,10,0.6005740882257324,2,-8.391284815721607e-06,0.00016639865958987087
downward,10,0.6005740882257324,3,-8.391284815721607e-06,-0.00016639865958987087
downward,11,0.6000128957986485,0,-16.34237900624436,0.0
downward,11,0.6000128957986485,1,-18.64661662126375,0.0
downward,11,0.6000128957986485,2,-8.471557746148041e-06,0.00016610758840387115
downward,11,0.6000128957986485,3,-8.471557746148041e-06,-0.00016610758840387115
downward,12,0.5999988879940723,0,-16.342379417670895,0.0
downward,12,0.5999988879940723,1,-18.646512557973665,0.0
downward,12,0.5999988879940723,2,-8.47356283083627e-06,0.00016610031607037652
downward,12,0.5999988879940723,3,-8.47356283083627e-06,-0.00016610031607037652
upward,0,0.61,0,-16.342094105168357,0.0
upward,0,0.61,1,-18.718353955344764,0.0
upward,0,0.61,2,-7.060337442780258e-06,0.0001712130545410668
upward,0,0.61,3,-7.060337442780258e-06,-0.0001712130545410668
upward,1,0.6106129523724333,0,-16.342077155560837,0.0
upward,1,0.6106129523724333,1,-18.722601613329093,0.0
upward,1,0.6106129523724333,2,-6.974974913175281e-06,0.00017152141754790768
upward,1,0.6106129523724333,3,-6.974974913175281e-06,-0.00017152141754790768
upward,2,0.6113836314997833,0,-16.342055930208577,0.0
upward,2,0.6113836314997833,1,-18.727917621358632,0.0
upward,2,0.6113836314997833,2,-6.86786070482231e-06,0.0001719083410278414
upward,2,0.6113836314997833,3,-6.86786070482231e-06,-0.0001719083410278414
upward,3,0.612354055109324,0,-16.342029338883933,0.0
upward,3,0.612354055109324,1,-18.73457259646944,0.0
upward,3,0.612354055109324,2,-6.733326356674913e-06,0.0001723943058775671
upward,3,0.612354055109324,3,-6.733326356674913e-06,-0.0001723943058775671
upward,4,0.6134503588839484,0,-16.34199947837171,0.0
upward,4,0.6134503588839484,1,-18.742039166893264,0.0
upward,4,0.6134503588839484,2,-6.581802779265594e-06,0.00017294165951115166
upward,4,0.6134503588839484,3,-6.581802779265594e-06,-0.00017294165951115166
upward,5,0.6145567404142648,0,-16.34196953577539,0.0
upward,5,0.6145567404142648,1,-18.74951929115732,0.0
upward,5,0.6145567404142648,2,-6.429387849600138e-06,0.00017349228734436073
upward,5,0.6145567404142648,3,-6.429387849600138e-06,-0.00017349228734436073
upward,6,0.6156733201746256,0,-16.34193951168251,0.0
upward,6,0.6156733201746256,1,-18.757012780879585,0.0
upward,6,0.6156733201746256,2,-6.276083337696262e-06,0.00017404621912040115
upward,6,0.6156733201746256,3,-6.276083337696262e-06,-0.00017404621912040115
upward,7,0.6168002198455769,0,-16.341909406712162,0.0
upward,7,0.6168002198455769,1,-18.76451944066147,0.0
upward,7,0.6168002198455769,2,-6.121891196020158e-06,0.00017460348502417212
upward,7,0.6168002198455769,3,-6.121891196020158e-06,-0.00017460348502417212
upward,8,0.6179375622984321,0,-16.34187922151107,0.0
upward,8,0.6179375622984321,1,-18.772039068798353,0.0
upward,8,0.6179375622984321,2,-5.966813561795562e-06,0.00017516411395988022
upward,8,0.6179375622984321,3,-5.966813561795562e-06,-0.00017516411395988022
upward,9,0.6190854715834252,0,-16.34184895675398,0.0
upward,9,0.6190854715834252,1,-18.779571457279552,0.0
upward,9,0.6190854715834252,2,-5.810852761812515e-06,0.00017572813514756382
upward,9,0.6190854715834252,3,-5.810852761812515e-06,-0.00017572813514756382
upward,10,0.6202440729092452,0,-16.34181861314434,0.0
upward,10,0.6202440729092452,1,-18.787116392232424,0.0
upward,10,0.6202440729092452,2,-5.65401131999207e-06,0.00017629557913924132
upward,10,0.6202440729092452,3,-5.65401131999207e-06,-0.00017629557913924132
upward,11,0.621413492626151,0,-16.34178819141549,0.0
upward,11,0.621413492626151,1,-18.79467365232361,0.0
upward,11,0.621413492626151,2,-5.496291963475501e-06,0.00017686647550938997
upward,11,0.621413492626151,3,-5.496291963475501e-06,-0.00017686647550938997
upward,12,0.6225938582089485,0,-16.341757692330773,0.0
upward,12,0.6225938582089485,1,-18.802243009558524,0.0
upward,12,0.6225938582089485,2,-5.33769762533086e-06,0.00017744085423223715
upward,12,0.6225938582089485,3,-5.33769762533086e-06,-0.00017744085423223715
upward,13,0.6237852982229498,0,-16.341727116684922,0.0
upward,13,0.6237852982229498,1,-18.80982422874824,0.0
upward,13,0.6237852982229498,2,-5.178231453081965e-06,0.0001780187447787398
upward,13,0.6237852982229498,3,-5.178231453081965e-06,-0.0001780187447787398
upward,14,0.6249879423117329,0,-16.341696465304295,0.0
upward,14,0.6249879423117329,1,-18.81741706857552,0.0
upward,14,0.6249879423117329,2,-5.017896814812902e-06,0.00017860017732217903
upward,14,0.6249879423117329,3,-5.017896814812902e-06,-0.00017860017732217903
upward,15,0.6262019211630099,0,-16.34166573904798,0.0
upward,15,0.6262019211630099,1,-18.82502127901895,0.0
upward,15,0.6262019211630099,2,-4.856697303138436e-06,0.0001791851809680008
upward,15,0.6262019211630099,3,-4.856697303138436e-06,-0.0001791851809680008
upward,16,0.6274273664761967,0,-16.341634938808493,0.0
upward,16,0.6274273664761967,1,-18.832636603395798,0.0
upward,16,0.6274273664761967,2,-4.694636744781314e-06,0.00017977378583086874
upward,16,0.6274273664761967,3,-4.694636744781314e-06,-0.00017977378583086874
upward,17,0.6286644109357977,0,-16.341604065512545,0.0
upward,17,0.6286644109357977,1,-18.84026277756266,0.0
upward,17,0.6286644109357977,2,-4.5317192030353455e-06,0.00018036602210956526
upward,17,0.6286644109357977,3,-4.5317192030353455e-06,-0.00018036602210956526
upward,18,0.6299131881750514,0,-16.341573120121854,0.0
upward,18,0.6299131881750514,1,-18.847899529382577,0.0
upward,18,0.6299131881750514,2,-4.367948986415996e-06,0.00018096191852919177
upward,18,0.6299131881750514,3,-4.367948986415996e-06,-0.00018096191852919177
upward,19,0.631173832736108,0,-16.341542103633884,0.0
upward,19,0.631173832736108,1,-18.855546578636073,0.0
upward,19,0.631173832736108,2,-4.203330652549555e-06,0.0001815615051831672
upward,19,0.631173832736108,3,-4.203330652549555e-06,-0.0001815615051831672
upward,20,0.6324464800308298,0,-16.341511017082734,0.0
upward,20,0.6324464800308298,1,-18.863203637199085,0.0
upward,20,0.6324464800308298,2,-4.037869020874584e-06,0.00018216481126012577
upward,20,0.6324464800308298,3,-4.037869020874584e-06,-0.00018216481126012577
upward,21,0.633731266297439,0,-16.341479861540016,0.0
upward,21,0.633731266297439,1,-18.87087040877618,0.0
upward,21,0.633731266297439,2,-3.8715691709973e-06,0.00018277186667105675
upward,21,0.633731266297439,3,-3.8715691709973e-06,-0.00018277186667105675
upward,22,0.6351652018355121,0,-16.641294269184257,0.0
upward,22,0.6351652018355121,1,-19.167108247011843,0.0
upward,22,0.6351652018355121,2,0.001964391849000971,0.0
upward,22,0.6351652018355121,3,2.8361475429297905e-05,0.0
upward,23,0.6369141762602072,0,-18.08002836105289,0.0
upward,23,0.6369141762602072,1,-20.55100985231087,0.0
upward,23,0.6369141762602072,2,0.001965815833861375,0.0
upward,23,0.6369141762602072,3,2.8789844211737952e-05,0.0
upward,24,0.6386566725674843,0,-19.76112642785052,0.0
upward,24,0.6386566725674843,1,-22.17126294192744,0.0
upward,24,0.6386566725674843,2,0.0019671092845612603,0.0
upward,24,0.6386566725674843,3,2.923614320437033e-05,0.0
upward,25,0.6403886901171756,0,-21.74447712694909,0.0
upward,25,0.6403886901171756,1,-24.087436234244795,0.0
upward,25,0.6403886901171756,2,0.001968271313216433,0.0
upward,25,0.6403886901171756,3,2.970195113425788e-05,0.0
upward,26,0.6421050238124513,0,-24.108855952756997,0.0
upward,26,0.6421050238124513,1,-26.378021830921234,0.0
upward,26,0.6421050238124513,2,0.0019693027006158935,0.0
upward,26,0.6421050238124513,3,3.018921550438017e-05,0.0
upward,27,0.6437989255535563,0,-26.95872531184238,0.0
upward,27,0.6437989255535563,1,-29.14726994419115,0.0
upward,27,0.6437989255535563,2,0.001970206271803983,0.0
upward,27,0.6437989255535563,3,3.070034777712891e-05,0.0
upward,28,0.6454617232637518,0,-30.433443738168652,0.0
upward,28,0.6454617232637518,1,-32.53444957048246,0.0
upward,28,0.6454617232637518,2,0.0019709872824465913,0.0
upward,28,0.6454617232637518,3,3.123832023868032e-05,0.0
upward,29,0.6470824582134516,0,-34.71943747892819,0.0
upward,29,0.6470824582134516,1,-36.726091875189844,0.0
upward,29,0.6470824582134516,2,0.001971653763416547,0.0
upward,29,0.6470824582134516,3,3.180674068724847e-05,0.0
upward,30,0.6486476746417915,0,-40.06566713288381,0.0
upward,30,0.6486476746417915,1,-41.97154789370869,0.0
upward,30,0.6486476746417915,2,0.00197221673651688,0.0
upward,30,0.6486476746417915,3,3.240984972068578e-05,0.0
upward,31,0.6499451064698001,0,-45.79913952863234,0.0
upward,31,0.6499451064698001,1,-47.61322506748435,0.0
upward,31,0.6499451064698001,2,0.0019726310315517233,0.0
upward,31,0.6499451064698001,3,3.2963321340232475e-05,0.0
upward,32,0.649998843750916,0,-46.06947164289846,0.0
upward,32,0.649998843750916,1,-47.87957683210653,0.0
upward,32,0.649998843750916,2,0.001972647292087206,0.0
upward,32,0.649998843750916,3,3.298751955688904e-05,0.0
upward,33,0.650019691897633,0,-46.17515082123571,0.0
upward,33,0.650019691897633,1,-47.98370776078732,0.0
upward,33,0.650019691897633,2,0.0019726535826808003,0.0
upward,33,0.650019691897633,3,3.299693785406505e-05,0.0
anchor,1,0.6,0,-16.342379385008602,0.0
anchor,1,0.6,1,-18.64652081916283,0.0
anchor,1,0.6,2,-8.47340365523819e-06,0.00016610089304620068
anchor,1,0.6,3,-8.47340365523819e-06,-0.00016610089304620068
anchor,2,0.61,0,-16.342094105168737,0.0
anchor,2,0.61,1,-18.71835395525594,0.0
anchor,2,0.61,2,-7.060337442480351e-06,0.00017121305506084643
anchor,2,0.61,3,-7.060337442480351e-06,-0.00017121305506084643
anchor,3,0.615,0,-16.341957593511832,0.0
anchor,3,0.615,1,-18.752500709739667,0.0
anchor,3,0.615,2,-6.36846684921813e-06,0.00017371239877668812
anchor,3,0.615,3,-6.36846684921813e-06,-0.00017371239877668812
anchor,4,0.62,0,-16.341824988500477,0.0
anchor,4,0.62,1,-18.785531748171923,0.0
anchor,4,0.62,2,-5.687003832412144e-06,0.0001761761928630234
anchor,4,0.62,3,-5.687003832412144e-06,-0.0001761761928630234
anchor,5,0.625,0,-16.341696159065513,0.0
anchor,5,0.625,1,-18.81749289249776,0.0
anchor,5,0.625,2,-5.016292523715641e-06,0.00017860599636347212
anchor,5,0.625,3,-5.016292523715641e-06,-0.00017860599636347212
anchor,6,0.63,0,-16.341570977073353,0.0
anchor,6,0.63,1,-18.848428127116854,0.0
anchor,6,0.63,2,-4.356590025433005e-06,0.00018100327166624392
anchor,6,0.63,3,-4.356590025433005e-06,-0.00018100327166624392
anchor,7,0.64,0,-21.267981995881275,0.0
anchor,7,0.64,1,-23.626629424689725,0.0
anchor,7,0.64,2,0.0019680212090623286,0.0
anchor,7,0.64,3,2.9595309583375988e-05,0.0
anchor,8,0.65,0,-46.07532088736315,0.0
anchor,8,0.65,1,-47.885340268703324,0.0
anchor,8,0.65,2,0.001972647641160982,0.0
anchor,8,0.65,3,3.298804152555733e-05,0.0
