run,step_index,H_a3,independent_tracked_pair_real_s_inv,independent_tracked_pair_imag_abs_s_inv,independent_stable_eigenvalue_count,independent_complex_pair_count,delta_vs_branch_tracked_pair_real_s_inv
downward,12,0.5999988879940723,-8.47356283083627e-06,0.00016610031607037652,4,1,0.0
anchor,1,0.6,-8.47340365523819e-06,0.00016610089304620068,4,1,0.0
downward,11,0.6000128957986485,-8.471557746148041e-06,0.00016610758840387115,4,1,0.0
downward,10,0.6005740882257324,-8.391284815721607e-06,0.00016639865958987087,4,1,0.0
downward,9,0.6015640049682301,-8.249958165479652e-06,0.00016691084891181163,4,1,0.0
downward,8,0.6025627182986892,-8.107731119992097e-06,0.00016742598653205021,4,1,0.0
downward,7,0.6035703345201792,-7.964603749847467e-06,0.0001679441028838467,4,1,0.0
downward,6,0.6045869611989789,-7.820576249948176e-06,0.00016846522454629952,4,1,0.0
downward,5,0.6056127071572543,-7.675648948398216e-06,0.00016898937990038996,4,1,0.0
downward,4,0.6066476824754037,-7.529822307693469e-06,0.0001695165968715987,4,1,0.0
downward,3,0.6076919984993202,-7.383096929342814e-06,0.00017004690473750183,4,1,0.0
downward,2,0.6086324081208757,-7.251333310573741e-06,0.0001705230276486579,4,1,0.0
downward,1,0.6093902158988577,-7.145407449853762e-06,0.00017090573012179457,4,1,0.0
anchor,2,0.61,-7.060337442480351e-06,0.00017121305506084643,4,1,0.0
upward,1,0.6106129523724333,-6.974974913175281e-06,0.00017152141754790768,4,1,0.0
upward,2,0.6113836314997833,-6.86786070482231e-06,0.0001719083410278414,4,1,0.0
upward,3,0.612354055109324,-6.733326356674913e-06,0.0001723943058775671,4,1,0.0
upward,4,0.6134503588839484,-6.581802779265594e-06,0.00017294165951115166,4,1,0.0
upward,5,0.6145567404142648,-6.429387849600138e-06,0.00017349228734436073,4,1,0.0
anchor,3,0.615,-6.36846684921813e-06,0.00017371239877668812,4,1,0.0
upward,6,0.6156733201746256,-6.276083337696262e-06,0.00017404621912040115,4,1,0.0
upward,7,0.6168002198455769,-6.121891196020158e-06,0.00017460348502417212,4,1,0.0
upward,8,0.6179375622984321,-5.966813561795562e-06,0.00017516411395988022,4,1,0.0
upward,9,0.6190854715834252,-5.810852761812515e-06,0.00017572813514756382,4,1,0.0
anchor,4,0.62,-5.687003832412144e-06,0.0001761761928630234,4,1,0.0
upward,10,0.6202440729092452,-5.65401131999207e-06,0.00017629557913924132,4,1,0.0
upward,11,0.621413492626151,-5.496291963475501e-06,0.00017686647550938997,4,1,0.0
upward,12,0.6225938582089485,-5.33769762533086e-06,0.00017744085423223715,4,1,0.0
upward,13,0.6237852982229498,-5.178231453081965e-06,0.0001780187447787398,4,1,0.0
upward,14,0.6249879423117329,-5.017896814812902e-06,0.00017860017732217903,4,1,0.0
anchor,5,0.625,-5.016292523715641e-06,0.00017860599636347212,4,1,0.0
upward,15,0.6262019211630099,-4.856697303138436e-06,0.0001791851809680008,4,1,0.0
upward,16,0.6274273664761967,-4.694636744781314e-06,0.00017977378583086874,4,1,0.0
upward,17,0.6286644109357977,-4.5317192030353455e-06,0.00018036602210956526,4,1,0.0
upward,18,0.6299131881750514,-4.367948986415996e-06,0.00018096191852919177,4,1,0.0
anchor,6,0.63,-4.356590025433005e-06,0.00018100327166624392,4,1,0.0
upward,19,0.631173832736108,-4.203330652549555e-06,0.0001815615051831672,4,1,0.0
upward,20,0.6324464800308298,-4.037869020874584e-06,0.00018216481126012577,4,1,0.0
upward,21,0.633731266297439,-3.8715691709973e-06,0.00018277186667105675,4,1,0.0
upward,22,0.6351652018355121,0.001964391849000971,0.0,2,0,0.0
upward,23,0.6369141762602072,0.001965815833861375,0.0,2,0,0.0
upward,24,0.6386566725674843,0.0019671092845612603,0.0,2,0,0.0
anchor,7,0.64,0.0019680212090623286,0.0,2,0,0.0
upward,25,0.6403886901171756,0.001968271313216433,0.0,2,0,0.0
upward,26,0.6421050238124513,0.0019693027006158935,0.0,2,0,0.0
upward,27,0.6437989255535563,0.001970206271803983,0.0,2,0,0.0
upward,28,0.6454617232637518,0.0019709872824465913,0.0,2,0,0.0
upward,29,0.6470824582134516,0.001971653763416547,0.0,2,0,0.0
upward,30,0.6486476746417915,0.00197221673651688,0.0,2,0,0.0
upward,31,0.6499451064698001,0.0019726310315517233,0.0,2,0,0.0
upward,32,0.649998843750916,0.001972647292087206,0.0,2,0,0.0
anchor,8,0.65,0.001972647641160982,0.0,2,0,0.0
upward,33,0.650019691897633,0.0019726535826808003,0.0,2,0,0.0
