iteration,residual_norm,augmented_norm,correction_norm,jacobian_condition,min_singular_value,linear_solver,run,step_index,H_a3,ds_scaled
0,0.4410756428073488,0.4410756428073488,0.00016606182642997318,2842.767513931494,0.9553894564611275,solve,downward,1,0.6093902158988577,0.2
1,3.2409510216457995e-07,3.2409510216457995e-07,1.2199650762231966e-10,2842.784933094624,0.9553891226193231,solve,downward,1,0.6093902158988577,0.2
2,9.184782301433153e-08,9.184782301433153e-08,0.0,2842.7828855448342,0.9553891224644726,not_needed,downward,1,0.6093902158988577,0.2
0,0.6832701429827515,0.6832701429827515,0.0002568472009343192,2847.760164907012,0.9553868956109607,solve,downward,2,0.6086324081208757,0.25
1,6.255963070763284e-07,6.255963070763284e-07,2.351371330529222e-10,2847.785973576766,0.9553862967160145,solve,downward,2,0.6086324081208757,0.25
2,9.435321400305544e-08,9.435321400305544e-08,0.0,2847.790915610847,0.9553862973258589,not_needed,downward,2,0.6086324081208757,0.25
0,1.0607718772056376,1.0607718772056376,0.00039798353795120927,2854.2909701864683,0.9553759764833544,solve,downward,3,0.6076919984993202,0.3125
1,1.9804359099424494e-06,1.9804359099424494e-06,7.428330581872132e-10,2854.3529409359085,0.9553748935158196,solve,downward,3,0.6076919984993202,0.3125
2,1.520064209575373e-09,1.5200642095753734e-09,0.0,2854.350938775999,0.9553748932252927,not_needed,downward,3,0.6076919984993202,0.3125
0,1.3165222058672648,1.3165222058672648,0.0004928701754023281,2862.018086795544,0.9553536192541785,solve,downward,4,0.6066476824754037,0.35
1,1.62991839522769e-06,1.62991839522769e-06,6.099815240429286e-10,2862.0983426141083,0.9553520614618688,solve,downward,4,0.6066476824754037,0.35
2,7.400637063932463e-08,7.400637063932463e-08,0.0,2862.0963241513655,0.9553520610892099,not_needed,downward,4,0.6066476824754037,0.35
0,1.3022920660330728,1.3022920660330728,0.0004864939938620259,2870.1653170501327,0.9553207226159808,solve,downward,5,0.6056127071572543,0.35
1,2.8937648253338025e-06,2.8937648253338025e-06,1.0806459925437993e-09,2870.2521107660987,0.955318973805118,solve,downward,5,0.6056127071572543,0.35
2,3.753194393028718e-09,3.753194393028719e-09,0.0,2870.2587315508003,0.9553189756480358,not_needed,downward,5,0.6056127071572543,0.35
0,1.2903634646747941,1.2903634646747941,0.000481002880203294,2878.718686651241,0.9552779394315051,solve,downward,6,0.6045869611989789,0.35
1,2.929989821894875e-07,2.929989821894875e-07,1.0910680037108588e-10,2878.8140651099025,0.9552760045301474,solve,downward,6,0.6045869611989789,0.35
2,6.998177608613713e-09,6.998177608613714e-09,0.0,2878.809037133816,0.9552760027163855,not_needed,downward,6,0.6045869611989789,0.35
0,1.2765688881005022,1.2765688881005022,0.00047484353818951543,2887.6556612509476,0.9552256281117902,solve,downward,7,0.6035703345201792,0.35
1,6.502358455481677e-07,6.502358455481677e-07,2.418715321981352e-10,2887.7591975930927,0.955223517251498,solve,downward,7,0.6035703345201792,0.35
2,3.1475598389442146e-08,3.1475598389442146e-08,0.0,2887.7591972762148,0.9552235172318713,not_needed,downward,7,0.6035703345201792,0.35
0,1.2621596614557737,1.2621596614557737,0.0004684846576011978,2896.9650492484056,0.9551641486327812,solve,downward,8,0.6025627182986892,0.35
1,1.333926748598535e-07,1.333926748598535e-07,4.9590274188716394e-11,2897.076402576494,0.9551618703733709,solve,downward,8,0.6025627182986892,0.35
2,1.2434556828081708e-08,1.2434556828081711e-08,0.0,2897.076407653995,0.9551618703675834,not_needed,downward,8,0.6025627182986892,0.35
0,1.2491416913456077,1.2491416913456077,0.0004626688274005199,2906.6429741097063,0.955093859866678,solve,downward,9,0.6015640049682301,0.35
1,2.3003185378007507e-06,2.3003185378007507e-06,8.517504179803849e-10,2906.752708823997,0.9550914133251781,solve,downward,9,0.6015640049682301,0.35
2,1.8930446282005902e-07,1.8930446282005902e-07,7.008694413483843e-11,2906.75779292311,0.955091416416637,solve,downward,9,0.6015640049682301,0.35
3,8.000825618773397e-08,8.000825618773397e-08,0.0,2906.75700469737,0.9550914160205154,not_needed,downward,9,0.6015640049682301,0.35
0,1.235363026490943,1.235363026490943,0.0004566001431197471,2916.6638480816323,0.9550150924585464,solve,downward,10,0.6005740882257324,0.35
1,4.088682075282595e-08,4.088682075282595e-08,0.0,2916.7859317310695,0.9550124945906353,not_needed,downward,10,0.6005740882257324,0.35
0,0.39919233506916285,0.39919233506916285,0.00014736718280321723,2922.628131424311,0.9549647071755414,solve,downward,11,0.6000128957986485,0.19979839083605297
1,9.491358908172418e-08,9.491358908172418e-08,0.0,2922.6646373260673,0.9549638310774221,not_needed,downward,11,0.6000128957986485,0.19979839083605297
0,0.000251478329968676,0.000251478329968676,9.283329783299405e-08,2922.821730368279,0.9549626121732898,solve,downward,12,0.5999988879940723,0.005
1,6.032607993380854e-08,6.032607993380854e-08,0.0,2922.8175174270514,0.9549626082392857,not_needed,downward,12,0.5999988879940723,0.005
0,0.44165457238232086,0.44165457238232086,0.00016669445890729902,2835.24019477385,0.9553818640263668,solve,upward,1,0.6106129523724333,0.2
1,1.3467567525884222e-07,1.3467567525884222e-07,5.0827648154548836e-11,2835.2487932384934,0.9553816147968489,solve,upward,1,0.6106129523724333,0.2
2,9.163148967387867e-08,9.163148967387867e-08,0.0,2835.253688434086,0.9553816150569414,not_needed,upward,1,0.6106129523724333,0.2
0,0.6943484145167947,0.6943484145167947,0.0002624785219105978,2830.8280339764137,0.9553694834212278,solve,upward,2,0.6113836314997833,0.25
1,3.784133550738836e-07,3.784133550738836e-07,1.4304003618544624e-10,2830.8404389196176,0.9553691771705211,solve,upward,2,0.6113836314997833,0.25
2,5.426001910774654e-08,5.426001910774654e-08,0.0,2830.8453021312885,0.9553691773566724,not_needed,upward,2,0.6113836314997833,0.25
0,1.095017375179014,1.095017375179014,0.00041475040538721666,2825.6453553689335,0.9553452961893396,solve,upward,3,0.612354055109324,0.3125
1,1.4984012710448548e-08,1.4984012710448548e-08,0.0,2825.6668598144656,0.9553449839952676,not_needed,upward,3,0.612354055109324,0.3125
0,1.3864801184198452,1.3864801184198452,0.000526300066422385,2820.2930787485525,0.9553062890818015,solve,upward,4,0.6134503588839484,0.35
1,2.7569959018673248e-06,2.7569959018673248e-06,1.0465065658237588e-09,2820.3113406545626,0.9553061389580882,solve,upward,4,0.6134503588839484,0.35
2,4.692682602429154e-10,4.692682602429169e-10,0.0,2820.311346996546,0.9553061389850097,not_needed,upward,4,0.6134503588839484,0.35
0,1.4016646674804991,1.4016646674804991,0.0005332348814268272,2815.4336986312574,0.9552543711206614,solve,upward,5,0.6145567404142648,0.35
1,2.780671521892294e-06,2.780671521892294e-06,1.057860913581831e-09,2815.437852689808,0.9552544707203889,solve,upward,5,0.6145567404142648,0.35
2,1.1188975493638906e-07,1.1188975493638906e-07,4.2565467670789344e-11,2815.436154444471,0.9552544707133009,solve,upward,5,0.6145567404142648,0.35
3,2.746372837379252e-08,2.746372837379252e-08,0.0,2815.437861788176,0.9552544707173969,not_needed,upward,5,0.6145567404142648,0.35
0,1.4162923204545212,1.4162923204545212,0.0005399864002043675,2811.0764035624143,0.9551891897034037,solve,upward,6,0.6156733201746256,0.35
1,4.3102248821331596e-07,4.3102248821331596e-07,1.6432793113378635e-10,2811.067919527843,0.9551895482874492,solve,upward,6,0.6156733201746256,0.35
2,2.085420206313416e-08,2.085420206313416e-08,0.0,2811.0617981483283,0.9551895482466487,not_needed,upward,6,0.6156733201746256,0.35
0,1.4318648536625096,1.4318648536625096,0.0005471287514167528,2807.2216512541827,0.95511030716144,solve,upward,7,0.6168002198455769,0.35
1,2.442594758882989e-06,2.442594758882989e-06,9.333803680445574e-10,2807.196880669037,0.9551109344333846,solve,upward,7,0.6168002198455769,0.35
2,1.9446530555954288e-08,1.9446530555954288e-08,0.0,2807.196883551839,0.955110934437186,not_needed,upward,7,0.6168002198455769,0.35
0,1.4469272998131377,1.4469272998131377,0.00055410945585997,2803.870149951854,0.9550172792259392,solve,upward,8,0.6179375622984321,0.35
1,3.517620162138552e-06,3.517620162138552e-06,1.3472638108974008e-09,2803.841831957102,0.955018185270602,solve,upward,8,0.6179375622984321,0.35
2,3.099777888925208e-08,3.099777888925208e-08,0.0,2803.8418441220124,0.9550181852687337,not_needed,upward,8,0.6179375622984321,0.35
0,1.4627459693938267,1.4627459693938267,0.0005614072010155555,2801.0602021799177,0.9549096561507431,solve,upward,9,0.6190854715834252,0.35
1,1.3517199913784585e-06,1.3517199913784585e-06,5.189177119405641e-10,2801.0148982286896,0.9549108507471549,solve,upward,9,0.6190854715834252,0.35
2,3.04880697189978e-08,3.04880697189978e-08,0.0,2801.014901575896,0.9549108507516734,not_needed,upward,9,0.6190854715834252,0.35
0,1.4784294582236843,1.4784294582236843,0.0005686844273712794,2798.7859051867104,0.9547869815246112,solve,upward,10,0.6202440729092452,0.35
1,8.753485876085098e-07,8.753485876085098e-07,3.368243909756683e-10,2798.7301038319474,0.9547884753885845,solve,upward,10,0.6202440729092452,0.35
2,6.119838608641085e-08,6.119838608641085e-08,0.0,2798.7247985426,0.9547884746317069,not_needed,upward,10,0.6202440729092452,0.35
0,1.4937462305906843,1.4937462305906843,0.0005758517306811083,2797.0557275669767,0.9546487933210401,solve,upward,11,0.621413492626151,0.35
1,2.862253347297501e-06,2.862253347297501e-06,1.1037116005113742e-09,2796.9897800553454,0.9546505969499631,solve,upward,11,0.621413492626151,0.35
2,7.289709313422037e-08,7.289709313422037e-08,0.0,2796.985038182108,0.9546505959752694,not_needed,upward,11,0.621413492626151,0.35
0,1.5105806765710337,1.5105806765710337,0.0005836335642632877,2795.891697682682,0.9544946246359515,solve,upward,12,0.6225938582089485,0.35
1,4.2470962212024485e-07,4.2470962212024485e-07,1.64217196288239e-10,2795.8076059454065,0.9544967485900964,solve,upward,12,0.6225938582089485,0.35
2,2.950341302254025e-08,2.950341302254025e-08,0.0,2795.8033319154756,0.9544967473852491,not_needed,upward,12,0.6225938582089485,0.35
0,1.5261974125515345,1.5261974125515345,0.0005909778536074195,2795.2874107301795,0.9543240030582437,solve,upward,13,0.6237852982229498,0.35
1,3.209792936548721e-06,3.209792936548721e-06,1.2433271173087746e-09,2795.1931010146113,0.9543264589414814,solve,upward,13,0.6237852982229498,0.35
2,1.3328645822786495e-07,1.3328645822786495e-07,5.162405895570894e-11,2795.1924982693677,0.9543264587954282,solve,upward,13,0.6237852982229498,0.35
3,1.578497353042707e-08,1.578497353042707e-08,0.0,2795.193100238605,0.9543264589204717,not_needed,upward,13,0.6237852982229498,0.35
0,1.5426216348760131,1.5426216348760131,0.0005986637468518197,2795.2690055372786,0.9541364548131616,solve,upward,14,0.6249879423117329,0.35
1,1.9743868363511496e-06,1.9743868363511496e-06,7.665635515484875e-10,2795.1553649078287,0.9541392515160096,solve,upward,14,0.6249879423117329,0.35
2,5.301612445360177e-08,5.301612445360177e-08,0.0,2795.1583662739927,0.9541392530374027,not_needed,upward,14,0.6249879423117329,0.35
0,1.5595725132549996,1.5595725132549996,0.0006065854144982544,2795.838028410273,0.9539314983817826,solve,upward,15,0.6262019211630099,0.35
1,5.82511825159392e-07,5.82511825159392e-07,2.2677586994722657e-10,2795.7100588724425,0.953934649892387,solve,upward,15,0.6262019211630099,0.35
2,6.579743967580998e-08,6.579743967580998e-08,0.0,2795.71280855326,0.9539346516195057,not_needed,upward,15,0.6262019211630099,0.35
0,1.5761220214092289,1.5761220214092289,0.0006143826631381855,2797.002050470008,0.9537086508759458,solve,upward,16,0.6274273664761967,0.35
1,7.791101656643433e-07,7.791101656643433e-07,3.0395969383329063e-10,2796.858178048521,0.9537121673566813,solve,upward,16,0.6274273664761967,0.35
2,8.634190867816059e-08,8.634190867816059e-08,0.0,2796.8581723103134,0.9537121673500056,not_needed,upward,16,0.6274273664761967,0.35
0,1.5927185488109141,1.5927185488109141,0.0006222287821618719,2798.772075259212,0.9534674271373504,solve,upward,17,0.6286644109357977,0.35
1,1.2564654246426944e-06,1.2564654246426944e-06,4.912177485936447e-10,2798.6153615082912,0.9534713227245919,solve,upward,17,0.6286644109357977,0.35
2,1.6900065518598116e-08,1.6900065518598116e-08,0.0,2798.6153641245505,0.9534713227252629,not_needed,upward,17,0.6286644109357977,0.35
0,1.6097702517112455,1.6097702517112455,0.0006302832342693463,2801.157839517408,0.9532073392070919,solve,upward,18,0.6299131881750514,0.35
1,1.248448291234779e-06,1.248448291234779e-06,4.891982674969374e-10,2800.984807197414,0.95321162433905,solve,upward,18,0.6299131881750514,0.35
2,2.568026910385252e-08,2.568026910385252e-08,0.0,2800.984808517261,0.9532116243242168,not_needed,upward,18,0.6299131881750514,0.35
0,1.6268098435783196,1.6268098435783196,0.0006383639844834407,2804.1653333944373,0.9529278968558574,solve,upward,19,0.631173832736108,0.35
1,2.3972597842610112e-06,2.3972597842610112e-06,9.41299985505128e-10,2803.9782097748684,0.9529325862798699,solve,upward,19,0.631173832736108,0.35
2,2.102956492366693e-08,2.102956492366693e-08,0.0,2803.978213694015,0.9529325862692501,not_needed,upward,19,0.631173832736108,0.35
0,1.6440306668675146,1.6440306668675146,0.0006465452840324895,2807.8080679629215,0.9526286166999801,solve,upward,20,0.6324464800308298,0.35
1,1.5322677749348835e-06,1.5322677749348835e-06,6.030982908109935e-10,2807.604719102029,0.9526337208635728,solve,upward,20,0.6324464800308298,0.35
2,4.006084289345704e-08,4.006084289345704e-08,0.0,2807.6024304608322,0.9526337176640827,not_needed,upward,20,0.6324464800308298,0.35
0,1.661246732243982,1.661246732243982,0.0006547551732195923,2812.0889353594102,0.9523090034995482,solve,upward,21,0.633731266297439,0.35
1,1.9876285530289422e-06,1.9876285530289422e-06,7.84023969689504e-10,2811.8679611973994,0.9523145335973529,solve,upward,21,0.633731266297439,0.35
2,1.095923282060474e-07,1.095923282060474e-07,4.321539739054167e-11,2811.8683363703876,0.9523145339548568,solve,upward,21,0.633731266297439,0.35
3,3.237368641383043e-08,3.237368641383043e-08,0.0,2811.868333963453,0.9523145339599728,not_needed,upward,21,0.633731266297439,0.35
0,30.271896961493134,30.271896961493134,0.037847354971223435,3309.7113491284954,0.8523839658174066,solve,upward,22,0.6351652018355121,0.35
1,0.6033550927435862,0.6033550927435862,0.00047354824759849137,3371.0917316723967,0.8532879047378542,solve,upward,22,0.6351652018355121,0.35
2,0.0001404279462802316,0.0001404279462802316,7.635187908270614e-08,3370.438924196643,0.8532741963388372,solve,upward,22,0.6351652018355121,0.35
3,4.435065810399726e-08,4.435065810399726e-08,0.0,3370.4383703818685,0.8532742052336376,not_needed,upward,22,0.6351652018355121,0.35
0,2.8561488260230257,2.8561488260230257,0.004040742862703918,3197.503084220328,0.9601532641657292,solve,upward,23,0.6369141762602072,0.35
1,0.004106686051105605,0.004106686051105605,5.597388212302525e-06,3204.3421142312263,0.9601981150627174,solve,upward,23,0.6369141762602072,0.35
2,7.506032036151694e-08,7.506032036151694e-08,0.0,3204.3345077246486,0.9601980505725629,not_needed,upward,23,0.6369141762602072,0.35
0,3.343739848999655,3.343739848999655,0.0046097481419953516,3455.9424895845677,0.9561009758424873,solve,upward,24,0.6386566725674843,0.35
1,0.005453673639086453,0.005453673639086453,7.3644692537015564e-06,3464.412448955053,0.9561597865725547,solve,upward,24,0.6386566725674843,0.35
2,8.234656368190383e-08,8.234656368190383e-08,0.0,3464.3987378803686,0.9561596904235181,not_needed,upward,24,0.6386566725674843,0.35
0,3.948769617859913,3.948769617859913,0.005281820683126449,3764.704526138997,0.9512961943939496,solve,upward,25,0.6403886901171756,0.35
1,0.007362631079575598,0.007362631079575598,9.780255460713197e-06,3775.269039506873,0.9513751374790912,solve,upward,25,0.6403886901171756,0.35
2,6.896477081108648e-08,6.896477081108648e-08,0.0,3775.2491914586244,0.951374988523199,not_needed,upward,25,0.6403886901171756,0.35
0,4.70415513797121,4.70415513797121,0.006071982105322087,4137.695174587497,0.945596734194238,solve,upward,26,0.6421050238124513,0.35
1,0.010099936066924104,0.010099936066924104,1.308041770078983e-05,4150.958412945205,0.9457050976720789,solve,upward,26,0.6421050238124513,0.35
2,7.299221298582686e-08,7.299221298582686e-08,0.0,4150.9287959160165,0.945704861498719,not_needed,upward,26,0.6421050238124513,0.35
0,5.6517548110442855,5.6517548110442855,0.00699206741205475,4593.5592593483,0.9388556973060139,solve,upward,27,0.6437989255535563,0.35
1,0.014052189807846635,0.014052189807846635,1.75530336166816e-05,4610.282153119145,0.9390073343386737,solve,upward,27,0.6437989255535563,0.35
2,9.096367049181488e-08,9.096367049181488e-08,0.0,4610.2409014646855,0.9390069521351304,not_needed,upward,27,0.6437989255535563,0.35
0,6.843963443616682,6.843963443616682,0.008045188705823275,5157.388136854241,0.9309451170544065,solve,upward,28,0.6454617232637518,0.35
