run,config_file,state_scaling,control_scaling,physical_inverse,contains_canonical_H_a3_0_61,uzr_or_stop,raw_artifacts
q-plus,c.bertonfull-task016-ha3-q-plus,"Z=(z-z_seed)/1000, U=(u-u_seed)/5, W=w, P=log(m/m_seed)/10",q_H=(H_a3-0.61)/0.001,z=z_seed+1000Z; u=u_seed+5U; w=W; m=m_seed*exp(10P),True,"UZR = {'q_H_scaled': [1.0, 2.0, 5.0, 10.0, 15.0, 40.0]}; UZSTOP = {'q_H_scaled': [40.0]}","b.task016-full-ha3-q-plus,s.task016-full-ha3-q-plus,d.task016-full-ha3-q-plus"
q-minus,c.bertonfull-task016-ha3-q-minus,"Z=(z-z_seed)/1000, U=(u-u_seed)/5, W=w, P=log(m/m_seed)/10",q_H=(H_a3-0.61)/0.001,z=z_seed+1000Z; u=u_seed+5U; w=W; m=m_seed*exp(10P),True,"UZR = {'q_H_scaled': [-1.0, -2.0, -5.0, -10.0, -12.5, -13.0, -15.0, -35.0]}; UZSTOP = {'q_H_scaled': [-35.0]}","b.task016-full-ha3-q-minus,s.task016-full-ha3-q-minus,d.task016-full-ha3-q-minus"
