run,point,label,H_a3,eigen_index,real_s_inv,imag_s_inv
q-minus,-1,1,0.61,1,-16.34209410516834,0.0
q-minus,-1,1,0.61,2,-18.718353955167114,0.0
q-minus,-1,1,0.61,3,-7.06033744241601e-06,0.000171213054558213
q-minus,-1,1,0.61,4,-7.06033744241601e-06,-0.000171213054558213
q-plus,-1,1,0.61,1,-16.34209410516834,0.0
q-plus,-1,1,0.61,2,-18.718353955167114,0.0
q-plus,-1,1,0.61,3,-7.06033744241601e-06,0.000171213054558213
q-plus,-1,1,0.61,4,-7.06033744241601e-06,-0.000171213054558213
