run,label,eigenvalue_index,real_s_inv,imag_s_inv
q-plus,1,1,-0.648425,-5.37982
q-plus,1,2,-0.648425,5.37982
q-plus,1,3,-18718.4,0.0
q-plus,1,4,-81710.5,0.0
q-minus,1,1,-0.648425,-5.37982
q-minus,1,2,-0.648425,5.37982
q-minus,1,3,-18718.4,0.0
q-minus,1,4,-81710.5,0.0
q-minus,2,1,3074030000.0,0.0
q-minus,2,2,-31.8594,0.0
q-minus,2,3,-60884.0,0.0
q-minus,2,4,-112081.0,0.0
