run,point,label,type,H_a3,z_m,u_m_s,w_m_s,m_kg,full_rhs_norm,stable_eigenvalue_count,critical_real_s_inv,critical_imag_s_inv
q-minus,-1,1,EP,0.61,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,2.13193703974786e-13,4,-7.06033744241601e-06,0.000171213054558213
q-plus,-1,1,EP,0.61,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,2.13193703974786e-13,4,-7.06033744241601e-06,0.000171213054558213
