run,config_file,icp,isp,jac,ilp,npar,ds,has_pvls_diagnostic_icp
minimal-wA0-plus,c.bertonrestricted-task021-minimal-wA0-plus,['W_a0'],0,0,0,53,0.001,False
minimal-wA0-minus,c.bertonrestricted-task021-minimal-wA0-minus,['W_a0'],0,0,0,53,-0.001,False
