run,config_file,icp,isp,jac,ds,uses_q_z_control,uses_smoothed_updraft,uses_p_mass_coordinate,smoothing_width_m
z-plus,c.bertonrestricted-task023-zw0-smooth-plus,['q_zW0_scaled'],0,0,0.002,True,True,True,50.0
z-minus,c.bertonrestricted-task023-zw0-smooth-minus,['q_zW0_scaled'],2,0,-0.002,True,True,True,50.0
