run,line,message
z-plus,38,1     1         Iterations   :   2
z-plus,56,1     2         Iterations   :   1
z-plus,74,1     3         Iterations   :   1
z-plus,93,1     4         Iterations   :   2
z-plus,112,1     5         Iterations   :   2
z-plus,131,1     6         Iterations   :   2
z-plus,150,1     7         Iterations   :   2
z-plus,169,1     8         Iterations   :   2
z-plus,188,1     9         Iterations   :   2
z-plus,237,1    11         Iterations   :   2
z-plus,257,1    12         Iterations   :   3
z-plus,277,1    13         Iterations   :   3
z-plus,297,1    14         Iterations   :   3
z-plus,318,1    15         Iterations   :   4
z-plus,384,1    17         Iterations   :   4
z-plus,405,1    18         Iterations   :   4
z-plus,426,1    19         Iterations   :   4
z-plus,447,1    20         Iterations   :   4
z-plus,468,1    21         Iterations   :   4
z-plus,480,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 5.2228E-302 in GE
z-plus,481,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 5.2228E-302 in GE
z-plus,482,1    23   7                NaN           NaN
z-plus,483,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,484,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,485,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,486,1    23   8                NaN           NaN
z-plus,487,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,488,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,489,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,490,1    23   9                NaN           NaN
z-plus,491,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,492,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,493,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,494,1    23  10                NaN           NaN
z-plus,495,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,496,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,497,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,498,1    23  11                NaN           NaN
z-plus,499,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,500,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,501,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,502,1    23  12                NaN           NaN
z-plus,504,1    22         Iterations   :  12
z-plus,506,1    22 NOTE:Retrying step
z-plus,524,1    22         Iterations   :  12
z-plus,526,1    22 NOTE:Retrying step
z-plus,544,1    22         Iterations   :  12
z-plus,546,1    22 NOTE:Retrying step
z-plus,564,1    22         Iterations   :  12
z-plus,566,1    22 NOTE:Retrying step
z-plus,578,1    22         Iterations   :  12
z-plus,580,1    22 NOTE:Retrying step
z-plus,595,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.6702E-118 in GE
z-plus,597,NOTE:Pivot   1 =    Infinity <= ||A||_max/1.7977E+308 =    Infinity in GE
z-plus,598,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 =    Infinity in GE
z-plus,599,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 =    Infinity in GE
z-plus,600,1    23  12                NaN           NaN
z-plus,602,1    22         Iterations   :  12
z-plus,604,1    22 NOTE:Retrying step
z-plus,615,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 9.1443E-033 in GE
z-plus,617,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 6.0015E-249 in GE
z-plus,618,1    23   8                NaN           NaN
z-plus,619,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,620,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,621,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,622,1    23   9                NaN           NaN
z-plus,623,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,624,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,625,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,626,1    23  10                NaN           NaN
z-plus,627,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,628,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,629,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,630,1    23  11                NaN           NaN
z-plus,631,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,632,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,633,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,634,1    23  12                NaN           NaN
z-plus,636,1    22         Iterations   :  12
z-plus,638,1    22 NOTE:Retrying step
z-plus,648,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.1540E-029 in GE
z-plus,650,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 4.9419E-255 in GE
z-plus,651,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 4.9419E-255 in GE
z-plus,652,1    23   7                NaN           NaN
z-plus,653,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,654,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,655,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,656,1    23   8                NaN           NaN
z-plus,657,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,658,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,659,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,660,1    23   9                NaN           NaN
z-plus,661,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,662,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,663,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,664,1    23  10                NaN           NaN
z-plus,665,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,666,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,667,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,668,1    23  11                NaN           NaN
z-plus,669,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,670,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,671,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,672,1    23  12                NaN           NaN
z-plus,674,1    22         Iterations   :  12
z-plus,676,1    22 NOTE:Retrying step
z-plus,686,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.1063E-029 in GE
z-plus,688,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.6343E-254 in GE
z-plus,689,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.6343E-254 in GE
z-plus,690,1    23   7                NaN           NaN
z-plus,691,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,692,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
z-plus,693,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
