branch,point,ty,label,type,z_W0,l2_norm,sigma_S,R_zeta,sigma_plus_Rzeta,R,driving_factor,k
1,36,0,0,regular,8349.999985,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,6.7923965064e-13,16.342632158
1,37,0,0,regular,8299.99998,10178.504111,-0.00012260259793,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-1.9972738741e-13,16.342632158
1,38,0,0,regular,8249.999975,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-2.3595188303e-13,16.342632158
1,39,0,0,regular,8199.99997,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,-1.261143967e-14,16.342632158
1,40,4,8,UZ/NPR,8149.999965,10178.504111,-0.00012260259756,-7.7693944677e-08,-0.0001226802915,0.0092226705878,5.7722923663e-13,16.342632158
1,41,0,0,regular,8099.99996,10178.504111,-0.00012260259829,-7.7693944677e-08,-0.00012268029223,0.0092226705878,-2.4417620703e-13,16.342632158
1,42,0,0,regular,8049.999955,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.9261155171e-13,16.342632158
1,43,0,0,regular,7999.99995,10178.504111,-0.00012260259792,-7.7693944678e-08,-0.00012268029187,0.0092226705878,-3.9086615888e-13,16.342632158
1,44,0,0,regular,7949.999945,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,3.9077768799e-13,16.342632158
1,45,0,0,regular,7899.99994,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,-2.5081325905e-13,16.342632158
1,46,0,0,regular,7849.999935,10178.504111,-0.00012260259793,-7.769394468e-08,-0.00012268029187,0.0092226705878,-2.6884917903e-13,16.342632158
1,47,0,0,regular,7799.99993,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,-2.5040039486e-13,16.342632158
1,48,0,0,regular,7749.999925,10178.504111,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,9.0068577596e-14,16.342632158
1,49,0,0,regular,7699.99992,10178.504111,-0.00012260259793,-7.769394468e-08,-0.00012268029187,0.0092226705878,-2.6884917903e-13,16.342632158
1,50,4,9,UZ/NPR,7649.999915,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-4.5284782868e-13,16.342632158
1,51,0,0,regular,7599.99991,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.8462475432e-13,16.342632158
1,52,0,0,regular,7549.999905,10178.504111,-0.00012260259829,-7.7693944679e-08,-0.00012268029223,0.0092226705878,4.125328551e-13,16.342632158
1,53,0,0,regular,7499.9999,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,1.0352690927e-12,16.342632158
1,54,0,0,regular,7449.999895,10178.504111,-0.00012260259756,-7.7693944685e-08,-0.0001226802915,0.0092226705878,5.6255694547e-13,16.342632158
1,55,0,0,regular,7399.99989,10178.504111,-0.00012260259756,-7.7693944681e-08,-0.0001226802915,0.0092226705878,2.3631617496e-13,16.342632158
1,56,0,0,regular,7349.999885,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-2.3595188303e-13,16.342632158
1,57,0,0,regular,7299.99988,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,2.2495200147e-13,16.342632158
1,58,0,0,regular,7249.999875,10178.504111,-0.00012260259792,-7.7693944685e-08,-0.00012268029187,0.0092226705878,-4.746255472e-13,16.342632158
1,59,0,0,regular,7199.99987,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,4.1611852852e-13,16.342632158
1,60,4,10,UZ/NPR,7149.999865,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,3.2162987551e-13,16.342632158
1,61,0,0,regular,7099.99986,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,4.3500793245e-13,16.342632158
1,62,0,0,regular,7049.999855,10178.504111,-0.00012260259756,-7.7693944681e-08,-0.0001226802915,0.0092226705878,4.0142195123e-13,16.342632158
1,63,0,0,regular,6999.99985,10178.504111,-0.00012260259792,-7.7693944678e-08,-0.00012268029187,0.0092226705878,2.8429689158e-13,16.342632158
1,64,0,0,regular,6949.999845,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,4.7187601049e-13,16.342632158
1,65,0,0,regular,6899.99984,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,5.3010894285e-13,16.342632158
1,66,0,0,regular,6849.999835,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-5.5952811828e-13,16.342632158
1,67,0,0,regular,6799.99983,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,3.8611648601e-13,16.342632158
1,68,0,0,regular,6749.999825,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-5.3752141627e-13,16.342632158
1,69,0,0,regular,6699.99982,10178.504111,-0.00012260259792,-7.7693944679e-08,-0.00012268029187,0.0092226705878,1.8474805019e-13,16.342632158
1,70,4,11,UZ/NPR,6649.999815,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,4.8187842605e-13,16.342632158
1,71,0,0,regular,6599.99981,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,-4.2145106849e-14,16.342632158
1,72,0,0,regular,6549.999805,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.0015599461e-13,16.342632158
1,73,0,0,regular,6499.9998,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,2.8743327163e-13,16.342632158
1,74,0,0,regular,6449.999795,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,5.910081452e-13,16.342632158
1,75,0,0,regular,6399.99979,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,4.5965835305e-13,16.342632158
1,76,0,0,regular,6349.999785,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-7.3441253079e-13,16.342632158
1,77,0,0,regular,6299.99978,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,5.2566111186e-13,16.342632158
1,78,0,0,regular,6249.999775,10178.504111,-0.00012260259792,-7.7693944679e-08,-0.00012268029187,0.0092226705878,7.2747363689e-13,16.342632158
1,79,0,0,regular,6199.99977,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-1.8127513379e-13,16.342632158
1,80,4,12,UZ/NPR,6149.999765,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,6.5387105452e-13,16.342632158
1,81,0,0,regular,6099.99976,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.7640389977e-13,16.342632158
1,82,0,0,regular,6049.999755,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-5.9508994954e-13,16.342632158
1,83,0,0,regular,5999.99975,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,-5.1107382215e-13,16.342632158
1,84,0,0,regular,5949.999745,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-4.3798471794e-13,16.342632158
1,85,0,0,regular,5899.99974,10178.504111,-0.00012260259829,-7.7693944683e-08,-0.00012268029223,0.0092226705878,2.7698676686e-13,16.342632158
