run,label,eigenvalue_index,real_s_inv,imag_s_inv
z-plus,1,1,-0.648421,-5.37981
z-plus,1,2,-0.648421,5.37981
z-plus,1,3,-18718.4,0.0
z-plus,1,4,-81710.5,0.0
z-minus,1,1,-0.648421,-5.37981
z-minus,1,2,-0.648421,5.37981
z-minus,1,3,-18718.4,0.0
z-minus,1,4,-81710.5,0.0
