run,config_file,state_scaling,control_scaling,physical_inverse,smoothed_updraft,z_W0_targets_km,raw_artifacts,ds_line
z-plus,c.bertonfull-task024-zw0-smooth-plus,"Z=(z-z_seed)/1000, U=(u-u_seed)/5, W=w, P=log(m/m_seed)/10",q_z=(z_W0-9000 m)/1000 m,z=z_seed+1000Z; u=u_seed+5U; w=W; m=m_seed*exp(10P),"softplus smooth clip, width 50 m, Delta_z_W=300 m","9.25,9.5,9.75,10.0","b.task024-full-zw0-smooth-plus,s.task024-full-zw0-smooth-plus,d.task024-full-zw0-smooth-plus","DS=0.25, DSMIN=1e-09, DSMAX=0.25, IADS=0"
z-minus,c.bertonfull-task024-zw0-smooth-minus,"Z=(z-z_seed)/1000, U=(u-u_seed)/5, W=w, P=log(m/m_seed)/10",q_z=(z_W0-9000 m)/1000 m,z=z_seed+1000Z; u=u_seed+5U; w=W; m=m_seed*exp(10P),"softplus smooth clip, width 50 m, Delta_z_W=300 m","8.75,8.5,8.0,7.5,7.0","b.task024-full-zw0-smooth-minus,s.task024-full-zw0-smooth-minus,d.task024-full-zw0-smooth-minus","DS=-0.25, DSMIN=1e-09, DSMAX=0.25, IADS=0"
