source,z_W0_m,z_W0_km,z_m,u_m_s,w_m_s,m_kg,smoothed_W_a_m_s,full_rhs_norm,stable_eigenvalue_count,critical_real_s_inv,critical_imag_s_inv
TASK-011 seed anchor / accepted branch cross-check,7000,7.0,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.6,2.13193703974786e-13,4,-7.06033744241601e-06,0.000171213054558213
TASK-011 seed anchor / accepted branch cross-check,8000,8.0,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.5999999999999992,2.30954897039874e-13,4,-7.060337442390219e-06,0.00017121305452289068
TASK-011 seed anchor / accepted branch cross-check,8500,8.5,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.5999999999805975,3.633964240815838e-10,4,-7.060337248453297e-06,0.00017121305453931558
TASK-011 seed anchor / accepted branch cross-check,9000,9.0,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.5999995726317209,7.99963571118667e-06,4,-7.056056700225385e-06,0.000171213132906266
TASK-011 seed anchor / accepted branch cross-check,9250,9.25,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.5999365929938464,0.001186860113534749,4,-6.4254207537498145e-06,0.00017122350625070555
TASK-011 seed anchor / accepted branch cross-check,9500,9.5,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.5910056636150021,0.1680476191425644,2,7.908235743598851e-05,0.00014971399210547126
TASK-011 seed anchor / accepted branch cross-check,9700,9.7,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.41958593514265025,3.2509379610917657,2,0.0016296165315400932,0.0
TASK-011 seed anchor / accepted branch cross-check,10000,10.0,9618.027532260936,1.9098623386953226,0.0,1.0802293920592054e-09,0.017690080347028157,9.559054515243792,2,0.0003214783133658507,0.0
