z_W0_m,eigen_index,real_s_inv,imag_s_inv
7000,1,-16.34209410516834,0.0
7000,2,-18.718353955167114,0.0
7000,3,-7.06033744241601e-06,0.000171213054558213
7000,4,-7.06033744241601e-06,-0.000171213054558213
8000,1,-16.34209410516834,0.0
8000,2,-18.718353955611203,0.0
8000,3,-7.060337442390219e-06,0.00017121305452289068
8000,4,-7.060337442390219e-06,-0.00017121305452289068
8500,1,-16.342094105091498,0.0
8500,2,-18.718353955256312,0.0
8500,3,-7.060337248453297e-06,0.00017121305453931558
8500,4,-7.060337248453297e-06,-0.00017121305453931558
9000,1,-16.342092412595697,0.0
9000,2,-18.718350671961527,0.0
9000,3,-7.056056700225385e-06,0.000171213132906266
9000,4,-7.056056700225385e-06,-0.000171213132906266
9250,1,-16.341842983877207,0.0
9250,2,-18.717866794426914,0.0
9250,3,-6.4254207537498145e-06,0.00017122350625070555
9250,4,-6.4254207537498145e-06,-0.00017122350625070555
9500,1,-16.306457682674207,0.0
9500,2,-18.649213394167628,0.0
9500,3,7.908235743598851e-05,0.00014971399210547126
9500,4,7.908235743598851e-05,-0.00014971399210547126
9700,1,-15.620920419520393,0.0
9700,2,-17.317325869707105,0.0
9700,3,0.0016296165315400932,0.0
9700,4,1.1090829959289985e-05,0.0
10000,1,-13.917514396204433,0.0
10000,2,-14.002883170342322,0.0
10000,3,0.0003214783133658507,0.0
10000,4,1.4985722813055905e-06,0.0
