run,step_index,W_a0_m_s,eigenvalue_index,real_s_inv,imag_s_inv
downward,0,0.6,0,-16.342094105168357,0.0
downward,0,0.6,1,-18.718353955344764,0.0
downward,0,0.6,2,-7.060337442780258e-06,0.0001712130545410668
downward,0,0.6,3,-7.060337442780258e-06,-0.0001712130545410668
downward,1,0.5809299259618237,0,-16.8785520065229,0.0
downward,1,0.5809299259618237,1,-19.232395223416276,0.0
downward,1,0.5809299259618237,2,-6.708773891543663e-06,0.00017207068877232972
downward,1,0.5809299259618237,3,-6.708773891543663e-06,-0.00017207068877232972
downward,2,0.5571514677112434,0,-17.59890429157767,0.0
downward,2,0.5571514677112434,1,-19.923452022895603,0.0
downward,2,0.5571514677112434,2,-6.2835171804518405e-06,0.00017313649611995393
downward,2,0.5571514677112434,3,-6.2835171804518405e-06,-0.00017313649611995393
downward,3,0.5275317516653732,0,-18.587041581865783,0.0
downward,3,0.5275317516653732,1,-20.87289358528121,0.0
downward,3,0.5275317516653732,2,-5.774617081882237e-06,0.00017445860403249893
downward,3,0.5275317516653732,3,-5.774617081882237e-06,-0.00017445860403249893
downward,4,0.4945145469241129,0,-19.828039108240045,0.0
downward,4,0.4945145469241129,1,-22.06767114607604,0.0
downward,4,0.4945145469241129,2,-5.235301521437254e-06,0.00017592508914642918
downward,4,0.4945145469241129,3,-5.235301521437254e-06,-0.00017592508914642918
downward,5,0.4616923203465543,0,-21.23763495695999,0.0
downward,5,0.4616923203465543,1,-23.427825859456778,0.0
downward,5,0.4616923203465543,2,-4.729212065292437e-06,0.00017737507739488191
downward,5,0.4616923203465543,3,-4.729212065292437e-06,-0.00017737507739488191
downward,6,0.4291021717355661,0,-22.8506234790894,0.0
downward,6,0.4291021717355661,1,-24.987955320769398,0.0
downward,6,0.4291021717355661,2,-4.257160674120159e-06,0.0001788065981484863
downward,6,0.4291021717355661,3,-4.257160674120159e-06,-0.0001788065981484863
downward,7,0.3967904993362511,0,-24.711406614815132,0.0
downward,7,0.3967904993362511,1,-26.79225319351224,0.0
downward,7,0.3967904993362511,2,-3.8198943910484445e-06,0.00018021700211211367
downward,7,0.3967904993362511,3,-3.8198943910484445e-06,-0.00018021700211211367
downward,8,0.3648157888228719,0,-26.877264882678155,0.0
downward,8,0.3648157888228719,1,-28.897783592097134,0.0
downward,8,0.3648157888228719,2,-3.4180849564935458e-06,0.00018160276375144856
downward,8,0.3648157888228719,3,-3.4180849564935458e-06,-0.00018160276375144856
downward,9,0.33325227076767333,0,-29.422904742219504,0.0
downward,9,0.33325227076767333,1,-31.37903522882142,0.0
downward,9,0.33325227076767333,2,-3.052318186643087e-06,0.0001829592138184843
downward,9,0.33325227076767333,3,-3.052318186643087e-06,-0.0001829592138184843
downward,10,0.30219463784965794,0,-32.446800262117584,0.0
downward,10,0.30219463784965794,1,-34.33427536017701,0.0
downward,10,0.30219463784965794,2,-2.7230826749781264e-06,0.00018428018448052313
downward,10,0.30219463784965794,3,-2.7230826749781264e-06,-0.00018428018448052313
downward,11,0.2717639275841376,0,-36.08002131509365,0.0
downward,11,0.2717639275841376,1,-37.89439886473488,0.0
downward,11,0.2717639275841376,2,-2.4307564931854567e-06,0.00018555755884640013
downward,11,0.2717639275841376,3,-2.4307564931854567e-06,-0.00018555755884640013
downward,12,0.24211439294180093,0,-40.49840834618601,0.0
downward,12,0.24211439294180093,1,-42.23513667605419,0.0
downward,12,0.24211439294180093,2,-2.175588447716146e-06,0.00018678070916031123
downward,12,0.24211439294180093,3,-2.175588447716146e-06,-0.00018678070916031123
