Index,W_a0,reachable,full_z_m,full_u_m_s,full_w_m_s,full_m_kg,full_physical_residual_norm,full_scaled_residual_norm,full_critical_real_s_inv,full_critical_imag_s_inv,full_branch_jacobian_condition,nearest_accepted_W_a0_m_s,nearest_abs_delta_W_a0_m_s,task012_z_m,task012_u_m_s,task012_w_m_s,task012_m_kg,task012_rhs_norm,z_abs_error_vs_task012_m,u_abs_error_vs_task012_m_s,w_abs_error_vs_task012_m_s,relative_m_error_vs_task012
0,0.5,True,9613.754088156957,1.9312295592152149,-2.120588047301484e-31,7.765038425628708e-10,6.534026264211182e-14,8.606407232192013e-08,-5.322826529118609e-06,0.00017568198658611645,2383.8544299190276,0.5,0.0,9613.754088153948,1.9312295592302613,0.0,7.765038425629287e-10,1.5728677385498648e-13,3.0086084734648466e-09,1.5046408563534897e-11,2.120588047301484e-31,7.456839194458905e-14
1,0.7,True,9622.539576203702,1.8873021189814947,1.0410290818339857e-29,1.4460766637418543e-09,9.656623016820227e-14,1.2444901721336865e-07,-9.049905566830904e-06,0.00016667230218637578,1670.273110914317,0.7,0.0,9622.539576209814,1.8873021189509311,0.0,1.446076663741387e-09,2.273949476248072e-13,6.111804395914078e-09,3.056355168951086e-11,1.0410290818339857e-29,3.2318967438647616e-13
2,0.8,True,9627.376893467297,1.8631155326635154,-2.4998032771931385e-30,1.8832097722035667e-09,2.182932353479228e-14,7.41919640914426e-08,-1.1266244956899232e-05,0.0001620508928746694,1453.5082599851733,0.8,0.0,9627.376893469607,1.863115532651952,0.0,1.8832097722058684e-09,7.889049052376954e-12,2.3101165425032377e-09,1.1563416890680855e-11,2.4998032771931385e-30,1.2221846383755862e-12
3,0.9,True,9632.62921231579,1.8368539384210563,2.1412270781050747e-25,2.4024216649355e-09,2.2060019748458847e-14,6.9105652079794e-10,-1.3684341784910793e-05,0.0001573341232992862,1286.7300513145694,0.9,0.0,9632.62921231057,1.8368539384471487,0.0,2.4024216649355597e-09,1.6981988615083756e-12,5.218680598773062e-09,2.609246152474043e-11,2.1412270781050747e-25,2.479040418802396e-14
4,1.0,True,9638.396041871685,1.8080197906415734,-5.045327454181284e-30,3.0162413983972354e-09,7.105427357601002e-15,2.1899090452215193e-08,-1.62802641301778e-05,0.00015250329182406016,1154.3740520774916,1.0,0.0,9638.396041871618,1.808019790641913,0.0,3.0162413983931962e-09,7.579759661216422e-12,6.730260793119669e-11,3.397282455352979e-13,5.045327454181284e-30,1.3391245585476495e-12
5,1.1,True,9644.793018741439,1.776034906292808,2.9269873282367644e-30,3.7390702655409904e-09,1.1898187687415717e-14,6.245687218395294e-08,-1.903170548650506e-05,0.00014753641352630847,1046.7720474050684,1.1,0.0,9644.793018756622,1.77603490621689,0.0,3.739070265538718e-09,3.0980731809666797e-12,1.5183104551397264e-08,7.59179386022879e-11,2.9269873282367644e-30,6.077085963389307e-13
6,1.2,True,9651.95909482891,1.7402045258554553,-3.293343966484096e-31,4.587330469634201e-09,1.3187931704230982e-14,4.8746153836683185e-09,-2.191830630133943e-05,0.00014240832627750153,957.6183394456722,1.2,0.0,9651.959094828704,1.740204525856479,0.0,4.587330469631528e-09,3.256094438000329e-12,2.0554580260068178e-10,1.0236256287043943e-12,3.293343966484096e-31,5.826091180593553e-13
