run,config_file,icp,unames,isp,jac,ds,uses_p_mass_coordinate,has_diagnostic_icp
pmass-wA0-plus,c.bertonrestricted-task019-pmass-wA0-plus,['W_a0'],"{1:'Z_scaled', 2:'U_scaled', 3:'P_log_ratio_over_10'}",0,0,0.001,True,False
pmass-wA0-minus,c.bertonrestricted-task019-pmass-wA0-minus,['W_a0'],"{1:'Z_scaled', 2:'U_scaled', 3:'P_log_ratio_over_10'}",0,0,-0.001,True,False
