run,branch,point,ty,type,label,is_user_point,W_a0,scaled_l2_norm,Z_scaled,U_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg
pmass-wA0-plus,1,1,9,EP,1,False,0.6,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
pmass-wA0-plus,1,2,0,regular,0,False,0.60173104623,0.0010017383101,0.00075823939576,-0.00037911969788,0.00053368615798,0.0053368615798,9618.103356200512,1.9094832189974424,1.0860098377985212e-09
pmass-wA0-plus,1,3,0,regular,0,False,0.60302930777,0.001753081743,0.0013273815834,-0.0006636907917,0.00093320322695,0.0093320322695,9618.160270419276,1.9091986479036225,1.0903573111376078e-09
pmass-wA0-plus,1,4,0,regular,0,False,0.60497665861,0.0028801676533,0.0021818410112,-0.0010909205056,0.0015312831101,0.015312831100999999,9618.245716362057,1.9087714181897224,1.0968980588211864e-09
pmass-wA0-plus,1,5,0,regular,0,False,0.60789757968,0.0045709750465,0.0034652163079,-0.0017326081539,0.0024257283031,0.024257283031,9618.374053891726,1.9081297305414224,1.1067532195826406e-09
pmass-wA0-plus,1,6,0,regular,0,False,0.61227868475,0.0071076523771,0.0053940976229,-0.0026970488114,0.003761430693,0.03761430693,9618.566942023226,1.9071652898839224,1.1216353177986243e-09
pmass-wA0-plus,1,7,0,regular,0,False,0.61884958704,0.010913933108,0.0082960938321,-0.0041480469161,0.005751736242,0.05751736242,9618.857141644146,1.9057142917792225,1.1441829266094968e-09
pmass-wA0-plus,1,8,0,regular,0,False,0.62870379922,0.016626915381,0.012668883682,-0.0063344418409,0.0087079588833,0.08707958883299999,9619.294420629136,1.9035278968544225,1.1785124498295634e-09
pmass-wA0-plus,1,9,0,regular,0,False,0.63953967384,0.022917399939,0.01750689035,-0.0087534451748,0.011920285559,0.11920285559,9619.778221295936,1.9011088935205225,1.216984739185687e-09
pmass-wA0-plus,1,10,4,UZ/NPR,2,True,0.6514534755,0.029846228719,0.022863224707,-0.011431612354,0.015407419113,0.15407419113,9620.313854731636,1.8984307263413225,1.2601712315268279e-09
pmass-wA0-plus,1,11,0,regular,0,False,0.66455036727,0.037481496399,0.028797923995,-0.014398961997,0.019188851954,0.19188851954,9620.907324660437,1.8954633766983224,1.308736199270825e-09
pmass-wA0-plus,1,12,0,regular,0,False,0.67894505233,0.045899663339,0.035379054781,-0.017689527391,0.023284806164,0.23284806164,9621.565437739036,1.8921728113043224,1.3634544011961847e-09
pmass-wA0-plus,1,13,0,regular,0,False,0.69476239831,0.055186899878,0.042684036089,-0.021342018045,0.027716154983,0.27716154983,9622.295935869835,1.8885203206503225,1.4252325144813613e-09
pmass-wA0-plus,1,14,-4,UZ-,3,True,0.70000000001,0.058271725617,0.045120439478,-0.022560219739,0.029168072152,0.29168072152,9622.539576208736,1.8873021189563224,1.4460766637765004e-09
pmass-wA0-plus,1,15,0,regular,0,False,0.71721345689,0.068447137316,0.053191182838,-0.026595591419,0.033887802999,0.33887802999000005,9623.346650544736,1.8832667472763225,1.5159638611238699e-09
pmass-wA0-plus,1,16,0,regular,0,False,0.73439845172,0.078668129355,0.061349051799,-0.0306745259,0.038523264145,0.38523264145,9624.162437440837,1.8791878127953223,1.587889951065932e-09
pmass-wA0-plus,1,17,0,regular,0,False,0.75155169143,0.088939661187,0.069596384151,-0.034798192075,0.04307774917,0.4307774917,9624.987170676035,1.8750641466203224,1.6618823576722067e-09
pmass-wA0-plus,1,18,0,regular,0,False,0.7686699534,0.099266488626,0.077935472974,-0.038967736487,0.047554319778,0.47554319778000004,9625.821079558336,1.8708946022083224,1.7379680029742387e-09
pmass-wA0-plus,1,19,0,regular,0,False,0.78575007482,0.10965317516,0.0863685649,-0.04318428245,0.051955823239,0.51955823239,9626.664388750936,1.8666780562453225,1.8161732017193035e-09
pmass-wA0-plus,1,20,-4,UZ-,4,True,0.8,0.11838708863,0.093493611996,-0.046746805998,0.055580422802,0.55580422802,9627.376893460536,1.8631155326973223,1.8832097722013255e-09
pmass-wA0-plus,1,21,0,regular,0,False,0.81700201905,0.12889496363,0.10210499206,-0.051052496032,0.05985085542,0.5985085542,9628.238031466935,1.8588098426633224,1.965372849937818e-09
pmass-wA0-plus,1,22,0,regular,0,False,0.8339571797,0.1394746713,0.11081647245,-0.055408236225,0.064053264751,0.6405326475099999,9629.109179505936,1.8544541024703225,2.0497258779728797e-09
pmass-wA0-plus,1,23,0,regular,0,False,0.85086247606,0.15013011408,0.11963009859,-0.059815049295,0.068189812602,0.6818981260199999,9629.990542119936,1.8500472894003224,2.1362918478588604e-09
pmass-wA0-plus,1,24,0,regular,0,False,0.86771492906,0.16086503721,0.12854785729,-0.064273928644,0.072262512268,0.72262512268,9630.882317989935,1.8455884100513225,2.2250926191080324e-09
pmass-wA0-plus,1,25,0,regular,0,False,0.88451158248,0.17168303308,0.13757167395,-0.068785836975,0.076273239112,0.76273239112,9631.784699655936,1.8410765017203223,2.3161488078881024e-09
pmass-wA0-plus,1,26,-4,UZ-,5,True,0.89999999995,0.18176908092,0.14601680051,-0.073008400257,0.079930383694,0.7993038369400001,9632.629212311936,1.8368539384383225,2.402421664677261e-09
pmass-wA0-plus,1,27,0,regular,0,False,0.91668097261,0.19275657856,0.15524998464,-0.077624992319,0.083826615204,0.8382661520400001,9633.552530724935,1.8322373463763224,2.4978730023450855e-09
pmass-wA0-plus,1,28,0,regular,0,False,0.93329760215,0.20383681072,0.1645944788,-0.082297239401,0.087665656558,0.87665656558,9634.486980140937,1.8275650992943224,2.5956318753379023e-09
pmass-wA0-plus,1,29,0,regular,0,False,0.94984699758,0.21501279834,0.17405193883,-0.087025969417,0.091448929389,0.91448929389,9635.432726143936,1.8228363692783225,2.6957129437937206e-09
pmass-wA0-plus,1,30,4,UZ/NPR,6,True,0.96632628175,0.22628742079,0.18362394395,-0.091811971977,0.095177759042,0.95177759042,9636.389926655937,1.8180503667183223,2.79812908259091e-09
pmass-wA0-plus,1,31,0,regular,0,False,0.98273259106,0.23766341714,0.19331199417,-0.096655997083,0.098853381247,0.9885338124699999,9637.358731677936,1.8132063416123223,2.9028912732621246e-09
pmass-wA0-plus,1,32,0,regular,0,False,0.99906307616,0.24914338627,0.20311750678,-0.10155875339,0.10247694849,1.0247694849,9638.339282938936,1.8083035853053224,3.01000850258917e-09
pmass-wA0-plus,1,33,-4,UZ-,7,True,1.0,0.24980689975,0.20368509615,-0.10184254807,0.10268380676,1.0268380676,9638.396041875936,1.8080197906253224,3.016241398512253e-09
pmass-wA0-plus,1,34,0,regular,0,False,1.0162472168,0.26139949398,0.213616274,-0.106808137,0.10625349315,1.0625349315000001,9639.389159660936,1.8030542016953224,3.1258565765895706e-09
pmass-wA0-plus,1,35,0,regular,0,False,1.0324127964,0.27310096753,0.22366755711,-0.11183377856,0.10977325874,1.0977325874000001,9640.394287971936,1.7980285601353223,3.237838592254548e-09
pmass-wA0-plus,1,36,0,regular,0,False,1.0484939415,0.2849134903,0.23384009086,-0.11692004543,0.11324403666,1.1324403666,9641.411541346935,1.7929422932653225,3.352189737343334e-09
pmass-wA0-plus,1,37,0,regular,0,False,1.0644878759,0.29683909091,0.24413492551,-0.12206746275,0.11666669865,1.1666669865,9642.441024811937,1.7877948759453224,3.4689099360412545e-09
pmass-wA0-plus,1,38,0,regular,0,False,1.0803918478,0.30887965605,0.25455301344,-0.12727650672,0.12004205973,1.2004205973,9643.482833604936,1.7825858319753225,3.587996669407178e-09
pmass-wA0-plus,1,39,0,regular,0,False,1.0962031324,0.32103693006,0.26509520677,-0.13254760338,0.1233708825,1.233708825,9644.537052937936,1.7773147353153225,3.7094449031678642e-09
pmass-wA0-plus,1,40,-4,UZ-,8,True,1.1,0.32398486469,0.26765486484,-0.13382743242,0.12416635698,1.2416635698,9644.793018744936,1.7760349062753225,3.739070265601889e-09
pmass-wA0-plus,1,41,0,regular,0,False,1.1156925138,0.33628918874,0.27835210721,-0.13917605361,0.12743841248,1.2743841248,9645.862742981935,1.7706862850853224,3.86343831989161e-09
pmass-wA0-plus,1,42,0,regular,0,False,1.1312863514,0.34871360948,0.28917498727,-0.14458749363,0.13066546929,1.3066546929,9646.945030987936,1.7652748450653224,3.990147156449151e-09
pmass-wA0-plus,1,43,0,regular,0,False,1.1467789014,0.36125940495,0.30012401581,-0.1500620079,0.13384814749,1.3384814749,9648.039933841936,1.7598003307953225,4.119183209299507e-09
pmass-wA0-plus,1,44,0,regular,0,False,1.1621675967,0.37392770818,0.31119959423,-0.15559979711,0.1369870309,1.369870309,9649.147491683936,1.7542625415853224,4.250530198047939e-09
pmass-wA0-plus,1,45,0,regular,0,False,1.1774499184,0.38671950722,0.32240201331,-0.16120100666,0.14008267035,1.4008267035,9650.267733591936,1.7486613320353224,4.384169105064272e-09
pmass-wA0-plus,1,46,0,regular,0,False,1.1926234002,0.39963564515,0.33373145212,-0.16686572606,0.14313558679,1.4313558678999998,9651.400677472935,1.7429966126353225,4.520078163648685e-09
pmass-wA0-plus,1,47,-4,UZ-,9,True,1.1999999999,0.40599462768,0.33931562558,-0.16965781279,0.14461248391,1.4461248391000001,9651.959094818936,1.7402045259053225,4.587330469118306e-09
pmass-wA0-plus,1,48,0,regular,0,False,1.2150069969,0.41909713247,0.35083426149,-0.17541713075,0.14760270203,1.4760270203,9653.110958409936,1.7344452079453223,4.726573110322421e-09
pmass-wA0-plus,1,49,0,regular,0,False,1.229899277,0.43232544741,0.36247987368,-0.18123993684,0.15055138309,1.5055138309,9654.275519628936,1.7286224018553225,4.868019834277872e-09
pmass-wA0-plus,1,50,4,UZ/NPR,10,True,1.2446745959,0.44567991383,0.37425224785,-0.18712612393,0.15345896621,1.5345896621,9655.452757045936,1.7227362147653225,5.011639368016607e-09
pmass-wA0-plus,1,51,0,regular,0,False,1.2593307832,0.4591607321,0.3861510579,-0.19307552895,0.15632587279,1.5632587278999999,9656.642638050937,1.7167868097453225,5.157397782323253e-09
pmass-wA0-plus,1,52,0,regular,0,False,1.2738657476,0.47276796276,0.39817586619,-0.19908793309,0.15915250891,1.5915250891,9657.845118879935,1.7107744056053225,5.305258549036493e-09
pmass-wA0-plus,1,53,0,regular,0,False,1.2882774808,0.48650152926,0.41032612557,-0.20516306279,0.16193926738,1.6193926738,9659.060144817937,1.7046992759053223,5.455182599101403e-09
pmass-wA0-plus,1,54,0,regular,0,False,1.302564062,0.50036122012,0.42260118076,-0.21130059038,0.16468652988,1.6468652987999999,9660.287650336935,1.6985617483153224,5.607128403428302e-09
pmass-wA0-plus,1,55,0,regular,0,False,1.3167236624,0.5143466917,0.43500027044,-0.21750013522,0.16739466884,1.6739466884,9661.527559304935,1.6923622034753225,5.761052058284636e-09
pmass-wA0-plus,1,56,0,regular,0,False,1.3307545484,0.52845747161,0.44752252991,-0.22376126495,0.17006404919,1.7006404919000002,9662.779785251936,1.6861010737453224,5.916907380993107e-09
pmass-wA0-plus,1,57,0,regular,0,False,1.3446550856,0.54269296213,0.46016699382,-0.23008349691,0.17269503002,1.7269503002,9664.044231642936,1.6797788417853223,6.074646017698068e-09
pmass-wA0-plus,1,58,0,regular,0,False,1.3584237419,0.55705244443,0.47293259969,-0.23646629985,0.17528796603,1.7528796602999999,9665.320792229935,1.6733960388453224,6.234217555385237e-09
pmass-wA0-plus,1,59,0,regular,0,False,1.3720590906,0.57153508233,0.48581819096,-0.24290909548,0.17784320904,1.7784320904,9666.609351356936,1.6669532432153225,6.395569653641497e-09
pmass-wA0-plus,1,60,4,UZ/NPR,11,True,1.3855598129,0.58613992726,0.49882252127,-0.24941126064,0.18036110908,1.8036110908,9667.909784387935,1.6604510780553223,6.558648165823931e-09
