W_a0,auto_z_m,python_z_m,z_abs_error_m,auto_u_m_s,python_u_m_s,u_abs_error_m_s,auto_m_kg,python_m_kg,relative_m_error,python_stable_eigenvalue_count,python_critical_real_s_inv
0.7,9622.539576208736,9622.539576209814,1.0786607163026929e-09,1.8873021189563224,1.8873021189509311,5.39124300757976e-12,1.4460766637765004e-09,1.446076663741387e-09,2.4281840854634903e-11,4,-9.049905566531326e-06
0.8,9627.376893460536,9627.376893469607,9.071300155483186e-09,1.8631155326973223,1.863115532651952,4.537037412433165e-11,1.8832097722013255e-09,1.8832097722058684e-09,2.4123047741091536e-12,4,-1.1266244957016836e-05
0.9,9632.629212311936,9632.62921231057,1.3660610420629382e-09,1.8368539384383225,1.8368539384471487,8.826273045769994e-12,2.402421664677261e-09,2.4024216649355597e-09,1.0751598296345991e-10,4,-1.3684341784764382e-05
1.0,9638.396041875936,9638.396041871618,4.318280844017863e-09,1.8080197906253224,1.808019790641913,1.659072879078849e-11,3.016241398512253e-09,3.0162413983931962e-09,3.947195102115948e-11,4,-1.628026412986359e-05
1.1,9644.793018744936,9644.793018756622,1.1685187928378582e-08,1.7760349062753225,1.77603490621689,5.843237005365154e-11,3.739070265601889e-09,3.739070265538718e-09,1.6894829921298795e-11,4,-1.9031705486336743e-05
1.2,9651.959094818936,9651.959094828704,9.76797309704125e-09,1.7402045259053225,1.740204525856479,4.884359583456899e-11,4.587330469118306e-09,4.587330469631528e-09,1.1187826124472016e-10,4,-2.19183063011488e-05
0.5,9613.754056029036,9613.754088153948,3.2124911740538664e-05,1.9312297198543225,1.9312295592302613,1.6062406116290617e-07,7.765017288641457e-10,7.765038425629287e-10,2.7220712469332904e-06,4,-5.322826528482735e-06
