method,duration_h,base_duration_h,extension_rule,z_final_m,u_final_m_s,w_final_m_s,m_final_kg,z_amp_150_200h_m,z_amp_450_500h_m,amp_ratio_late_to_base,late_peak_period_h,classification
BDF,500.0,200.0,Amplitude at 150-200 h remained nonzero; extend both BDF and LSODA to 500 h and classify using the 450-500 h envelope.,9618.027978632867,1.9098601069054302,2.2799864560546853e-07,1.0802286123949943e-09,19.208274353240995,0.009235795820131898,0.0004808238184380967,10.203703703703702,damped/equilibrium-like
LSODA,500.0,200.0,Amplitude at 150-200 h remained nonzero; extend both BDF and LSODA to 500 h and classify using the 450-500 h envelope.,9618.027987578897,1.9098600621747674,2.2634436637618246e-07,1.0802286175304975e-09,19.20820543636728,0.00920939251955133,0.00047945095912578083,10.194444444444445,damped/equilibrium-like
