eigenvalue_index,real_s_inv,imag_s_inv,period_h_if_complex,e_folding_h
1,-16.342094105083657,0.0,,1.6997685608196772e-05
2,-18.718353956015374,0.0,,1.4839861369781954e-05
3,-7.060179763433192e-06,0.00017121231400882042,10.193946983885835,39.34429250887817
4,-7.060179763433192e-06,-0.00017121231400882042,10.193946983885835,39.34429250887817
